soundFile,word,location,repetition,trialnum,condition,corrAns,soundFile3,soundFile2,soundFile1,soundFile6,soundFile5,soundFile4,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,instr8_key_resp.keys,instr8_key_resp.rt,instr9_key_resp.keys,instr9_key_resp.rt,instr10_key_resp.keys,instr10_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
pu.wav,2,3,33,399,S,,,,,,,,0,14,14,14,,,,,,,,,None,,,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
pi.wav,1,1,35,400,S,,,,,,,,0,15,15,15,,,,,,,,,None,,,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
tu.wav,1,2,35,401,S,,,,,,,,0,16,16,16,,,,,,,,,None,,,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
bi.wav,1,3,35,402,S,,,,,,,,0,17,17,17,,,,,,,,,None,,,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
ta.wav,3,1,34,403,S,,,,,,,,0,18,18,18,,,,,,,,,None,,,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
ti.wav,3,2,34,404,S,,,,,,,,0,19,19,19,,,,,,,,,None,,,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
du.wav,3,3,34,405,S,,,,,,,,0,20,20,20,,,,,,,,,None,,,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
bu.wav,4,1,34,406,S,,,,,,,,0,21,21,21,,,,,,,,,None,,,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
pa.wav,4,2,34,407,S,,,,,,,,0,22,22,22,,,,,,,,,None,,,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
da.wav,4,3,34,408,S,,,,,,,,0,23,23,23,,,,,,,,,None,,,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
2C.wav,0,1,1,385,R,,,,,,,,,,,,0,0,0,0,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
1B.wav,0,2,1,386,R,,,,,,,,,,,,0,1,1,1,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
3C.wav,0,3,1,387,R,,,,,,,,,,,,0,2,2,2,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
2B.wav,0,1,1,388,R,,,,,,,,,,,,0,3,3,3,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
3A.wav,0,2,1,389,R,,,,,,,,,,,,0,4,4,4,,,,,,,3,0.316957221599,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
2C.wav,0,3,1,390,R,,,,,,,,,,,,0,5,5,5,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
3B.wav,0,1,1,391,R,,,,,,,,,,,,0,6,6,6,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
3C.wav,0,2,1,392,R,,,,,,,,,,,,0,7,7,7,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
2A.wav,0,3,1,393,R,,,,,,,,,,,,0,8,8,8,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
3B.wav,0,1,1,394,R,,,,,,,,,,,,0,9,9,9,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
4A.wav,0,2,1,395,R,,,,,,,,,,,,0,10,10,10,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
3A.wav,0,3,1,396,R,,,,,,,,,,,,0,11,11,11,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
2B.wav,0,1,1,397,R,,,,,,,,,,,,0,12,12,12,,,,,,,3,0.150228877959,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
4A.wav,0,2,1,398,R,,,,,,,,,,,,0,13,13,13,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
3C.wav,0,3,1,399,R,,,,,,,,,,,,0,14,14,14,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
1C.wav,0,1,1,400,R,,,,,,,,,,,,0,15,15,15,,,,,,,3,0.292125818785,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
4C.wav,0,2,1,401,R,,,,,,,,,,,,0,16,16,16,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
4B.wav,0,3,1,402,R,,,,,,,,,,,,0,17,17,17,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
3B.wav,0,1,1,403,R,,,,,,,,,,,,0,18,18,18,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
4B.wav,0,2,1,404,R,,,,,,,,,,,,0,19,19,19,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
2A.wav,0,3,1,405,R,,,,,,,,,,,,0,20,20,20,,,,,,,None,,,,,,,,,,,da,3,014,119.974234897,1C,auditory,2017_Nov_07_1327,
