"","targ","part_id","task"
"398","do","spoli_c_409","ssl"
"399","2A","spoli_c_409","tsl"
"400","alien24","spoli_c_409","vsl"
"401","H","spoli_c_410","lsl"
"402","do","spoli_c_410","ssl"
"403","2A","spoli_c_410","tsl"
"404","A","spoli_c_419","lsl"
"405","do","spoli_c_419","ssl"
"406","3A","spoli_c_419","tsl"
"407","alien20","spoli_c_419","vsl"
"408","alien24","spoli_c_426","vsl"
"409","E","spoli_c_439","lsl"
"410","ku","spoli_c_439","ssl"
"411","2A","spoli_c_439","tsl"
"412","alien20","spoli_c_439","vsl"
"413","A","spoli_c_444","lsl"
"414","tu","spoli_c_444","ssl"
"415","3A","spoli_c_444","tsl"
"416","alien20","spoli_c_444","vsl"
"417","A","spoli_c_447","lsl"
"418","ku","spoli_c_447","ssl"
"419","3A","spoli_c_447","tsl"
"420","alien17","spoli_c_447","vsl"
"421","E","spoli_c_448","lsl"
"422","tu","spoli_c_448","ssl"
"423","3A","spoli_c_448","tsl"
"424","alien13","spoli_c_448","vsl"
"425","A","spoli_c_450","lsl"
"426","tu","spoli_c_450","ssl"
"427","2A","spoli_c_450","tsl"
"428","alien20","spoli_c_450","vsl"
"429","E","spoli_c_451","lsl"
"430","tu","spoli_c_451","ssl"
"431","2A","spoli_c_451","tsl"
"432","H","spoli_c_452","lsl"
"433","ku","spoli_c_452","ssl"
"434","2A","spoli_c_452","tsl"
"435","alien17","spoli_c_452","vsl"
"436","3A","spoli_c_477","tsl"
"437","alien20","spoli_c_477","vsl"
"438","H","spoli_c_478","lsl"
"439","alien13","spoli_c_478","vsl"
"440","E","spoli_c_487","lsl"
"441","tu","spoli_c_487","ssl"
"442","2A","spoli_c_487","tsl"
"443","alien24","spoli_c_487","vsl"
"444","ku","spoli_c_491","ssl"
"445","alien13","spoli_c_491","vsl"
"446","H","spoli_c_494","lsl"
"447","tu","spoli_c_494","ssl"
"448","2A","spoli_c_494","tsl"
"449","alien24","spoli_c_494","vsl"
"450","E","spoli_c_500","lsl"
"451","tu","spoli_c_500","ssl"
"452","alien17","spoli_c_500","vsl"
"453","E","spoli_c_501","lsl"
"454","ku","spoli_c_501","ssl"
"455","2A","spoli_c_501","tsl"
"456","alien24","spoli_c_501","vsl"
"457","E","spoli_c_508","lsl"
"458","tu","spoli_c_508","ssl"
"459","do","spoli_c_521","ssl"
"460","alien24","spoli_c_521","vsl"
"461","A","spoli_c_522","lsl"
"462","2A","spoli_c_522","tsl"
"463","alien17","spoli_c_522","vsl"
"464","H","spoli_c_537","lsl"
"465","ku","spoli_c_537","ssl"
"466","3A","spoli_c_537","tsl"
"467","alien20","spoli_c_537","vsl"
"468","C","spoli_c_563","lsl"
"469","ku","spoli_c_565","ssl"
"470","A","spoli_c_583","lsl"
"471","3A","spoli_c_583","tsl"
"472","A","spoli_c_608","lsl"
"473","ku","spoli_c_608","ssl"
"474","alien13","spoli_c_608","vsl"
"475","E","spoli_c_617","lsl"
"476","pi","spoli_c_617","ssl"
"477","3A","spoli_c_617","tsl"
"478","alien17","spoli_c_617","vsl"
"479","E","spoli_c_639","lsl"
"480","alien20","spoli_c_639","vsl"
"481","H","spoli_c_640","lsl"
"482","pi","spoli_c_640","ssl"
"483","3A","spoli_c_640","tsl"
"484","alien17","spoli_c_640","vsl"
"485","E","spoli_c_644","lsl"
"486","do","spoli_c_644","ssl"
"487","3A","spoli_c_644","tsl"
"488","C","spoli_c_647","lsl"
"489","tu","spoli_c_647","ssl"
"490","2A","spoli_c_647","tsl"
"491","alien24","spoli_c_647","vsl"
"492","C","spoli_c_651","lsl"
"493","do","spoli_c_651","ssl"
"494","alien13","spoli_c_651","vsl"
"495","A","spoli_c_677","lsl"
"496","ku","spoli_c_677","ssl"
"497","2A","spoli_c_677","tsl"
"498","alien13","spoli_c_677","vsl"
"499","A","spoli_c_697","lsl"
"500","ku","spoli_c_697","ssl"
"501","alien17","spoli_c_697","vsl"
"502","C","spoli_c_705","lsl"
"503","tu","spoli_c_705","ssl"
"504","alien24","spoli_c_705","vsl"
"505","H","spoli_c_715","lsl"
"506","do","spoli_c_715","ssl"
"507","alien24","spoli_c_715","vsl"
"508","3A","spoli_c_724","tsl"
"509","alien17","spoli_c_724","vsl"
"510","H","spoli_c_727","lsl"
"511","alien20","spoli_c_727","vsl"
"512","C","spoli_c_730","lsl"
"513","tu","spoli_c_730","ssl"
"514","2A","spoli_c_730","tsl"
"515","alien20","spoli_c_730","vsl"
"516","E","spoli_c_740","lsl"
"517","do","spoli_c_740","ssl"
"518","2A","spoli_c_740","tsl"
"519","alien17","spoli_c_740","vsl"
"520","tu","spoli_c_743","ssl"
"521","2A","spoli_c_743","tsl"
"522","alien24","spoli_c_743","vsl"
"523","alien17","spoli_c_744","vsl"
"524","tu","spoli_c_751","ssl"
"525","alien17","spoli_c_751","vsl"
"526","E","spoli_c_760","lsl"
"527","do","spoli_c_760","ssl"
"528","3A","spoli_c_760","tsl"
"529","A","spoli_c_768","lsl"
"530","tu","spoli_c_768","ssl"
"531","3A","spoli_c_768","tsl"
"532","alien17","spoli_c_768","vsl"
"533","E","spoli_c_777","lsl"
"534","pi","spoli_c_777","ssl"
"535","alien17","spoli_c_777","vsl"
"536","do","blast_a_001","ssl"
"537","3A","blast_a_001","tsl"
