"","id","task","trial","reaction_time","targ_index","group","gender","age_at_web_month","age_at_web_year","hit_trial_n","sl_aprime","domain","modality","scaled_rt","mean_rt","rt_slope_raw","initial_rt"
"166","blast_a_002","tsl",127,265.714285714267,9,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.0163675554863291,268.741,1.448,268.741
"167","blast_a_002","tsl",457,248.299319727892,36,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.110545540366088,268.741,1.448,268.741
"168","blast_a_002","tsl",463,132.199546485253,37,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.738398772898565,268.741,1.448,268.741
"169","blast_a_002","tsl",475,172.83446712014,38,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.518650141512396,268.741,1.448,268.741
"170","blast_a_002","tsl",193,397.41496598641,14,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",0.695853455167831,268.741,1.448,268.741
"171","blast_a_002","tsl",205,225.079365079381,15,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.236116186872492,268.741,1.448,268.741
"172","blast_a_002","tsl",220,306.349206349211,16,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",0.203381075900148,268.741,1.448,268.741
"173","blast_a_002","tsl",232,358.594104308395,17,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",0.485915030539743,268.741,1.448,268.741
"174","blast_a_002","tsl",244,346.984126984125,18,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",0.423129707286462,268.741,1.448,268.741
"175","blast_a_002","tsl",268,490.294784580509,20,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",1.19813604119375,268.741,1.448,268.741
"176","blast_a_002","tsl",274,201.859410430842,21,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.361686833379048,268.741,1.448,268.741
