"","par_id","mean_rt","scaled_rt_slope","task"
"57","blast_a_015",575.098,"0.018","adult_ssl_indiv_rts"
"58","blast_a_016",464.869,"-0.009","adult_ssl_indiv_rts"
"59","blast_a_017",726.553,"-0.011","adult_ssl_indiv_rts"
"60","blast_a_018",521.666,"0.022","adult_ssl_indiv_rts"
"61","blast_a_019",570.921,"-0.002","adult_ssl_indiv_rts"
"62","blast_a_021",505.212,"-0.008","adult_ssl_indiv_rts"
"63","blast_a_022",475.049,"0.011","adult_ssl_indiv_rts"
"64","blast_a_023",529.336,"0.028","adult_ssl_indiv_rts"
"65","blast_a_024",596.59,"0.017","adult_ssl_indiv_rts"
"66","blast_a_025",NA,"too few hits","adult_ssl_indiv_rts"
"67","blast_a_026",368.871,"-0.041","adult_ssl_indiv_rts"
"68","blast_a_028",541.717,"0.016","adult_ssl_indiv_rts"
"69","blast_a_030",475.394,"-0.003","adult_ssl_indiv_rts"
"70","blast_a_032",644.41,"-0.027","adult_ssl_indiv_rts"
"71","blast_a_035",410.45,"-0.012","adult_ssl_indiv_rts"
"72","blast_a_037",204.868,"-0.023","adult_ssl_indiv_rts"
"73","blast_a_038",682.609,"-0.033","adult_ssl_indiv_rts"
"74","blast_a_039",716.305,"0.005","adult_ssl_indiv_rts"
"75","blast_a_040",624,"0.02","adult_ssl_indiv_rts"
"76","blast_a_041",508.561,"0.008","adult_ssl_indiv_rts"
"77","blast_a_042",542.22,"0.029","adult_ssl_indiv_rts"
"78","blast_a_043",695.323,"0.034","adult_ssl_indiv_rts"
"79","blast_a_044",570.045,"0.034","adult_ssl_indiv_rts"
"80","blast_a_045",565.191,"-0.011","adult_ssl_indiv_rts"
"81","blast_a_046",522.045,"0.007","adult_ssl_indiv_rts"
"82","blast_a_047",605.757,"-0.05","adult_ssl_indiv_rts"
"83","blast_a_048",555.529,"-0.042","adult_ssl_indiv_rts"
"84","blast_a_049",775.758,"0.032","adult_ssl_indiv_rts"
"85","blast_a_050",638.607,"0.027","adult_ssl_indiv_rts"
"86","blast_a_051",550.606,"0.008","adult_ssl_indiv_rts"
"87","blast_a_052",568.22,"0.034","adult_ssl_indiv_rts"
"88","blast_a_001",519.236,"0.03","adult_tsl_indiv_rts"
"89","blast_a_002",268.741,"0.008","adult_tsl_indiv_rts"
"90","blast_a_003",129.75,"0.023","adult_tsl_indiv_rts"
"91","blast_a_004",639.32,"-0.023","adult_tsl_indiv_rts"
"92","blast_a_005",438.667,"0.09","adult_tsl_indiv_rts"
"93","blast_a_006",288.341,"0.011","adult_tsl_indiv_rts"
"94","blast_a_007",271.807,"-0.006","adult_tsl_indiv_rts"
"95","blast_a_008",331.048,"-0.02","adult_tsl_indiv_rts"
"96","blast_a_009",266.667,"0","adult_tsl_indiv_rts"
"97","blast_a_010",301.422,"-0.019","adult_tsl_indiv_rts"
"98","blast_a_011",439.456,"0.012","adult_tsl_indiv_rts"
"99","blast_a_012",213.016,"-0.003","adult_tsl_indiv_rts"
"100","blast_a_013",457.67,"-0.038","adult_tsl_indiv_rts"
"101","blast_a_014",384.938,"0.026","adult_tsl_indiv_rts"
"102","blast_a_015",180.695,"0.025","adult_tsl_indiv_rts"
"103","blast_a_016",199.736,"-0.024","adult_tsl_indiv_rts"
"104","blast_a_017",140.907,"-0.051","adult_tsl_indiv_rts"
"105","blast_a_018",237.143,"-0.015","adult_tsl_indiv_rts"
"106","blast_a_019",329.587,"0.013","adult_tsl_indiv_rts"
"107","blast_a_020",525.354,"0.007","adult_tsl_indiv_rts"
"108","blast_a_021",312.527,"0.006","adult_tsl_indiv_rts"
"109","blast_a_022",-0.976,"0.009","adult_tsl_indiv_rts"
"110","blast_a_023",20.574,"-0.057","adult_tsl_indiv_rts"
"111","blast_a_024",469.796,"0.014","adult_tsl_indiv_rts"
"112","blast_a_026",262.449,"-0.009","adult_tsl_indiv_rts"
"113","blast_a_027",314.448,"-0.016","adult_tsl_indiv_rts"
"114","blast_a_028",530.724,"0.001","adult_tsl_indiv_rts"
"115","blast_a_030",320.106,"0.007","adult_tsl_indiv_rts"
"116","blast_a_032",309.086,"-0.006","adult_tsl_indiv_rts"
"117","blast_a_035",407.048,"-0.022","adult_tsl_indiv_rts"
"118","blast_a_037",384.41,"0.01","adult_tsl_indiv_rts"
"119","blast_a_038",-9.333,"-0.009","adult_tsl_indiv_rts"
"120","blast_a_039",616.515,"0.006","adult_tsl_indiv_rts"
"121","blast_a_040",437.369,"0.011","adult_tsl_indiv_rts"
"122","blast_a_042",263.165,"-0.017","adult_tsl_indiv_rts"
"123","blast_a_043",141.529,"-0.036","adult_tsl_indiv_rts"
"124","blast_a_044",178.38,"-0.015","adult_tsl_indiv_rts"
"125","blast_a_045",274.222,"0.016","adult_tsl_indiv_rts"
"126","blast_a_046",319.475,"-0.015","adult_tsl_indiv_rts"
"127","blast_a_047",301.656,"-0.016","adult_tsl_indiv_rts"
"128","blast_a_048",403.273,"-0.027","adult_tsl_indiv_rts"
"129","blast_a_049",517.275,"-0.024","adult_tsl_indiv_rts"
"130","blast_a_050",338.194,"0.036","adult_tsl_indiv_rts"
"131","blast_a_051",529.467,"-0.014","adult_tsl_indiv_rts"
"132","blast_a_052",294.286,"0.054","adult_tsl_indiv_rts"
"133","blast_a_003",498.75,"0.012","adult_vsl_indiv_rts"
"134","blast_a_004",412.792,"-0.102","adult_vsl_indiv_rts"
"135","blast_a_005",483.5,"0.002","adult_vsl_indiv_rts"
"136","blast_a_006",517.957,"-0.037","adult_vsl_indiv_rts"
"137","blast_a_007",510.125,"-0.018","adult_vsl_indiv_rts"
"138","blast_a_008",542.25,"-0.016","adult_vsl_indiv_rts"
"139","blast_a_009",500.792,"-0.006","adult_vsl_indiv_rts"
"140","blast_a_010",559.13,"0.019","adult_vsl_indiv_rts"
"141","blast_a_011",552.917,"0.034","adult_vsl_indiv_rts"
