soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
bu.wav,0,3,1,276,R,0,83,83,83,,,,,4,0.385903120041,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ti.wav,0,1,1,277,R,0,84,84,84,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
du.wav,0,2,1,278,R,0,85,85,85,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
tu.wav,0,3,1,279,R,0,86,86,86,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
du.wav,0,1,1,280,R,0,87,87,87,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
di.wav,0,2,1,281,R,0,88,88,88,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
bi.wav,0,3,1,282,R,0,89,89,89,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ti.wav,0,1,1,283,R,0,90,90,90,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
di.wav,0,2,1,284,R,0,91,91,91,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
bi.wav,0,3,1,285,R,0,92,92,92,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ba.wav,0,1,1,286,R,0,93,93,93,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pi.wav,0,2,1,287,R,0,94,94,94,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pi.wav,0,3,1,288,R,0,95,95,95,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,96,96,96,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,97,97,97,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,98,98,98,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,99,99,99,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,100,100,100,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,101,101,101,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,102,102,102,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,103,103,103,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
silence.wav,0,0,0,0,B,0,104,104,104,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
