word,location,image,repetition,trialnum,condition,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,0,blank.png,0,0,B,0,56,56,56,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,0,blank.png,0,0,B,0,57,57,57,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,0,blank.png,0,0,B,0,58,58,58,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,0,blank.png,0,0,B,0,59,59,59,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien24.png,1,193,R,0,0,0,0,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien13.png,1,194,R,0,1,1,1,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien14.png,1,195,R,0,2,2,2,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien19.png,1,196,R,0,3,3,3,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien20.png,1,197,R,0,4,4,4,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien15.png,1,198,R,0,5,5,5,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien17.png,1,199,R,0,6,6,6,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien14.png,1,200,R,0,7,7,7,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien16.png,1,201,R,0,8,8,8,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien21.png,1,202,R,0,9,9,9,,,,,,,,,3,0.541913749675,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien18.png,1,203,R,0,10,10,10,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien15.png,1,204,R,0,11,11,11,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien23.png,1,205,R,0,12,12,12,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien22.png,1,206,R,0,13,13,13,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien16.png,1,207,R,0,14,14,14,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien20.png,1,208,R,0,15,15,15,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
