part_id,task,same_or_diff,test_phase,domain,type,mean_rt,range,upper_bound,lower_bound,rt_slope
sit_a_015,ll,same,lsl,linguistic,structured,328.59,772.62277,-24.575688,748.0471,-10.0494
sit_a_017,ll,same,lsl,linguistic,structured,330.604,250.04004,225.311317,475.3514,-5.3754
sit_a_018,ll,same,lsl,linguistic,structured,422.996,275.13719,300.270108,575.4073,-0.493
sit_a_019,ll,same,lsl,linguistic,structured,418.078,183.35131,317.015907,500.3672,-2.7495
sit_a_020,ll,same,lsl,linguistic,structured,437.299,480.28994,186.975002,667.2649,-8.7054
sit_a_021,ll,same,lsl,linguistic,structured,670.223,403.62811,533.695936,937.324,9.3691
sit_a_025,ll,same,lsl,linguistic,structured,473.116,575.12135,317.026987,892.1483,2.6711
sit_a_030,ll,same,lsl,linguistic,structured,470.392,286.29634,347.515647,633.812,3.9152
sit_a_032,ll,same,lsl,linguistic,structured,396.839,216.55507,308.848816,525.4039,-0.4566
sit_a_035,ll,same,lsl,linguistic,structured,639.197,483.71816,470.079899,953.7981,6.5456
sit_a_038,ll,same,lsl,linguistic,structured,433.819,225.07135,367.396049,592.4674,2.6189
sit_a_040,ll,same,lsl,linguistic,structured,749.365,566.2961,353.812933,920.109,6.7909
sit_a_043,ll,same,lsl,linguistic,structured,395.573,208.40744,333.615692,542.0231,1.0137
sit_a_044,ll,same,lsl,linguistic,structured,488.717,357.2465,342.058577,699.3051,5.6777
sit_a_047,ll,same,lsl,linguistic,structured,435.794,93.90114,383.736538,477.6377,1.8087
sit_a_049,ll,same,lsl,linguistic,structured,517.848,458.49655,350.228964,808.7255,15.963
sit_a_001,lv,different,lsl,linguistic,structured,511.181,308.41123,391.993619,700.4049,3.6397
sit_a_003,lv,different,lsl,linguistic,structured,419.809,274.7398,333.953233,608.693,3.01
sit_a_004,lv,different,lsl,linguistic,structured,286.07,866.6156,-32.904002,833.7116,-20.9388
sit_a_007,lv,different,lsl,linguistic,structured,306.682,459.25656,209.863634,669.1202,-6.9694
sit_a_008,lv,different,lsl,linguistic,structured,379.762,325.54638,258.132764,583.6791,4.3779
sit_a_011,lv,different,lsl,linguistic,structured,484.367,200.16313,385.298967,585.4621,1.5878
sit_a_012,lv,different,lsl,linguistic,structured,514.661,433.05885,383.072451,816.1313,0.4879
sit_a_014,lv,different,lsl,linguistic,structured,633.087,417.4602,469.383955,886.8442,-3.4067
sit_a_016,lv,different,lsl,linguistic,structured,656.764,447.21198,486.881018,934.093,1.4169
sit_a_022,lv,different,lsl,linguistic,structured,423.634,314.13419,333.659876,647.7941,-2.8779
sit_a_023,lv,different,lsl,linguistic,structured,527.705,450.48308,387.181997,837.6651,-3.5938
sit_a_024,lv,different,lsl,linguistic,structured,567.692,134.4769,519.683123,654.16,-1.1998
sit_a_026,lv,different,lsl,linguistic,structured,736.654,166.89897,653.561115,820.4601,2.6361
sit_a_027,lv,different,lsl,linguistic,structured,418.398,241.84625,341.858425,583.7047,0.6093
sit_a_028,lv,different,lsl,linguistic,structured,282.294,783.1681,-32.760917,750.4072,-17.2246
sit_a_029,lv,different,lsl,linguistic,structured,515.273,316.89834,366.973307,683.8716,-0.8535
sit_a_031,lv,different,lsl,linguistic,structured,430.822,499.97909,308.763767,808.7429,1.8067
sit_a_033,lv,different,lsl,linguistic,structured,412.805,266.61135,342.170932,608.7823,1.2404
sit_a_036,lv,different,lsl,linguistic,structured,459.632,369.98784,360.165891,730.1537,1.1299
sit_a_037,lv,different,lsl,linguistic,structured,496.638,483.47505,391.98401,875.4591,-0.874
sit_a_039,lv,different,lsl,linguistic,structured,384.762,341.612,275.401259,617.0133,4.6306
sit_a_041,lv,different,lsl,linguistic,structured,352.717,242.63609,217.311697,459.9478,0.0258
sit_a_042,lv,different,lsl,linguistic,structured,404.844,400.77278,316.327433,717.1002,3.2499
sit_a_045,lv,different,lsl,linguistic,structured,438.061,341.0835,367.721169,708.8047,-1.9975
sit_a_046,lv,different,lsl,linguistic,structured,441.664,516.65125,242.109009,758.7603,-9.1395
sit_a_048,lv,different,lsl,linguistic,structured,462.095,449.8335,333.167123,783.0006,0.699
sit_a_001,vl,different,vsl,non-linguistic,structured,535.804,618.33343,333.73222,952.0657,13.5775
sit_a_003,vl,different,vsl,non-linguistic,structured,483.685,349.97999,383.651708,733.6317,0.9585
sit_a_004,vl,different,vsl,non-linguistic,structured,404.858,550.1287,208.639668,758.7684,6.5005
sit_a_007,vl,different,vsl,non-linguistic,structured,451.11,350.06874,366.9676,717.0363,-1.6762
sit_a_008,vl,different,vsl,non-linguistic,structured,482.061,391.80999,358.473387,750.2834,-2.8451
sit_a_011,vl,different,vsl,non-linguistic,structured,503.269,599.70808,368.713856,968.4219,-2.3644
sit_a_012,vl,different,vsl,non-linguistic,structured,411.962,367.86329,267.365258,635.2285,-2.3151
sit_a_014,vl,different,vsl,non-linguistic,structured,718.509,350.37899,586.852074,937.2311,1.4383
sit_a_016,vl,different,vsl,non-linguistic,structured,722.188,334.24497,536.113024,870.358,-6.6836
sit_a_022,vl,different,vsl,non-linguistic,structured,412.131,266.48804,300.45952,566.9476,-4.323
sit_a_023,vl,different,vsl,non-linguistic,structured,416.887,284.32679,285.829067,570.1559,-1.618
sit_a_024,vl,different,vsl,non-linguistic,structured,566.173,199.94807,453.099966,653.048,-3.7059
sit_a_026,vl,different,vsl,non-linguistic,structured,703.265,150.44332,636.567831,787.0111,0.7414
sit_a_027,vl,different,vsl,non-linguistic,structured,438.898,133.35478,383.676061,517.0308,1.3665
sit_a_028,vl,different,vsl,non-linguistic,structured,269.59,722.07763,-32.933859,689.1438,-15.0524
sit_a_029,vl,different,vsl,non-linguistic,structured,485.015,316.64007,350.406428,667.0465,1.8338
sit_a_031,vl,different,vsl,non-linguistic,structured,421.287,566.76612,142.038267,708.8044,-12.5981
sit_a_033,vl,different,vsl,non-linguistic,structured,388.229,208.43816,308.693793,517.132,4.0786
sit_a_036,vl,different,vsl,non-linguistic,structured,549.232,194.805,472.269732,667.0747,-0.3802
sit_a_037,vl,different,vsl,non-linguistic,structured,529.851,642.00058,299.449628,941.4502,6.9154
sit_a_039,vl,different,vsl,non-linguistic,structured,438.173,258.32577,308.79278,567.1185,0.8655
sit_a_041,vl,different,vsl,non-linguistic,structured,262.809,656.43643,-49.59377,606.8427,-22.9679
sit_a_042,vl,different,vsl,non-linguistic,structured,365.898,158.22231,283.693957,441.9163,-1.0367
sit_a_045,vl,different,vsl,non-linguistic,structured,242.903,675.29937,-33.139219,642.1602,-27.3171
sit_a_046,vl,different,vsl,non-linguistic,structured,256.309,558.45351,8.690636,567.1441,-0.8504
sit_a_048,vl,different,vsl,non-linguistic,structured,453.711,383.51638,308.579447,692.0958,-12.1393
sit_a_002,vv,same,vsl,non-linguistic,structured,514.041,338.63889,383.539921,722.1788,4.0101
sit_a_005,vv,same,vsl,non-linguistic,structured,532.16,550.08802,400.344064,950.4321,-0.4694
sit_a_006,vv,same,vsl,non-linguistic,structured,422.139,242.25393,316.228342,558.4823,-0.7868
sit_a_009,vv,same,vsl,non-linguistic,structured,479.403,283.49554,366.904889,650.4004,-1.0147
sit_a_013,vv,same,vsl,non-linguistic,structured,458.235,791.79999,58.613693,850.4137,-11.1208
sit_a_015,vv,same,vsl,non-linguistic,structured,337.098,300.03564,175.291818,475.3275,-4.2832
sit_a_017,vv,same,vsl,non-linguistic,structured,395.612,1158.3873,-283.03214,875.3552,-16.7569
sit_a_018,vv,same,vsl,non-linguistic,structured,475.36,208.34229,400.352654,608.6949,1.9012
sit_a_019,vv,same,vsl,non-linguistic,structured,501.743,300.07043,408.65558,708.726,-1.873
sit_a_020,vv,same,vsl,non-linguistic,structured,584.322,402.86613,434.252977,837.1191,-0.6962
sit_a_021,vv,same,vsl,non-linguistic,structured,721.196,364.38894,586.323023,950.712,3.0525
sit_a_025,vv,same,vsl,non-linguistic,structured,436.959,666.6843,58.697671,725.382,-12.5662
sit_a_030,vv,same,vsl,non-linguistic,structured,483.785,249.9904,383.1082,633.0986,1.7986
sit_a_032,vv,same,vsl,non-linguistic,structured,357.609,316.82464,233.624311,550.449,-7.1329
sit_a_035,vv,same,vsl,non-linguistic,structured,603.444,166.68511,520.251989,686.9371,10.2028
sit_a_038,vv,same,vsl,non-linguistic,structured,322.465,449.76666,41.920024,491.6867,-10.335
sit_a_040,vv,same,vsl,non-linguistic,structured,650.734,216.70294,550.410986,767.1139,-4.2724
sit_a_043,vv,same,vsl,non-linguistic,structured,432.324,174.98861,358.713662,533.7023,0.6475
sit_a_044,vv,same,vsl,non-linguistic,structured,470.202,358.34076,333.804848,692.1456,7.6116
sit_a_047,vv,same,vsl,non-linguistic,structured,509.43,191.5504,425.42474,616.9751,-0.5069
sit_a_049,vv,same,vsl,non-linguistic,structured,466.797,233.39931,367.093684,600.493,2.1053
