subject,Domain,Global,Local,Early,Late
blast_a_003,Voice,High,Long,-0.313,-1.413
blast_a_004,Voice,High,Long,1.891,1.021
blast_a_005,Voice,High,Long,0.75,0.375
blast_a_006,Voice,High,Long,0.454,-4.134
blast_a_007,Voice,High,Long,0.096,-1.064
blast_a_008,Voice,High,Long,-0.758,-0.499
blast_a_009,Voice,High,Long,-0.254,-1.937
blast_a_010,Voice,High,Long,-1.538,-2.629
blast_a_011,Voice,High,Long,2.696,5.914
blast_a_012,Voice,High,Long,-0.307,-0.673
blast_a_013,Voice,High,Long,-2.545,-3.652
blast_a_014,Voice,High,Long,-0.096,-0.792
blast_a_015,Voice,High,Long,-0.584,-1.41
blast_a_016,Voice,High,Long,-0.113,-0.688
blast_a_018,Voice,High,Long,2.639,-0.049
blast_a_019,Voice,High,Long,1.075,-1.129
blast_a_020,Voice,High,Long,1.21,0.558
blast_a_021,Voice,High,Long,-0.192,-1.82
blast_a_022,Voice,High,Long,0.795,-0.468
blast_a_023,Voice,High,Long,-0.881,-0.839
blast_a_024,Voice,High,Long,2.02,0.222
blast_a_025,Voice,High,Long,1.382,-2.608
blast_a_026,Voice,High,Long,0.059,-1.291
blast_a_027,Voice,High,Long,-1.513,-1.883
blast_a_028,Voice,High,Long,0.637,0.32
blast_a_029,Voice,High,Long,0.003,-2.149
blast_a_030,Voice,High,Long,-0.485,-1.088
blast_a_031,Voice,High,Long,-0.28,-0.542
blast_a_036,Voice,High,Long,0.914,-2.195
blast_a_037,Voice,High,Long,-0.224,-1.478
blast_a_038,Voice,High,Long,1.052,-2.699
blast_a_039,Voice,High,Long,0,0
blast_a_041,Voice,High,Long,-0.837,-1.696
blast_a_042,Voice,High,Long,0.755,-1.654
blast_a_043,Voice,High,Long,-0.266,-0.496
blast_a_044,Voice,High,Long,2.288,-4.227
blast_a_045,Voice,High,Long,0.056,-0.271
blast_a_046,Voice,High,Long,0.592,1.145
blast_a_047,Voice,High,Long,2.065,-2.047
blast_a_048,Voice,High,Long,-0.217,-0.992
blast_a_049,Voice,High,Long,0.376,0.28
blast_a_050,Voice,High,Long,0.022,0.448
blast_a_051,Voice,High,Long,-1.051,-1.498
blast_a_001,Voice,High,Short,-0.816,-2.092
blast_a_002,Voice,High,Short,2.459,0.499
blast_a_003,Voice,High,Short,-0.123,-0.367
blast_a_004,Voice,High,Short,2.019,-0.311
blast_a_005,Voice,High,Short,0.438,-0.721
blast_a_006,Voice,High,Short,2.034,-0.675
blast_a_007,Voice,High,Short,1.092,-0.641
blast_a_008,Voice,High,Short,0.418,-0.821
blast_a_009,Voice,High,Short,-0.25,-0.326
blast_a_010,Voice,High,Short,-0.415,-2.384
blast_a_011,Voice,High,Short,1.683,1.77
blast_a_012,Voice,High,Short,-1.43,-1.595
blast_a_013,Voice,High,Short,1.186,0.588
blast_a_014,Voice,High,Short,-1.393,-1.816
blast_a_015,Voice,High,Short,1.137,0.642
blast_a_016,Voice,High,Short,0.148,2.797
blast_a_018,Voice,High,Short,0.02,0.052
blast_a_019,Voice,High,Short,0.644,0.274
blast_a_020,Voice,High,Short,1.043,1.107
blast_a_021,Voice,High,Short,0.851,-2.491
blast_a_022,Voice,High,Short,0.993,-0.588
blast_a_023,Voice,High,Short,1.329,1.334
blast_a_024,Voice,High,Short,1.406,1.11
blast_a_025,Voice,High,Short,1.778,-1.088
blast_a_026,Voice,High,Short,0.944,-1.789
blast_a_027,Voice,High,Short,-1.013,-1.523
blast_a_028,Voice,High,Short,-1.758,-1.661
blast_a_029,Voice,High,Short,2.112,1.944
blast_a_030,Voice,High,Short,-1.086,-3.528
blast_a_031,Voice,High,Short,0.393,-0.622
blast_a_036,Voice,High,Short,0.287,-3.744
blast_a_037,Voice,High,Short,0.651,0.101
blast_a_038,Voice,High,Short,-0.582,-0.302
blast_a_039,Voice,High,Short,0,0
blast_a_041,Voice,High,Short,-0.264,-2.407
blast_a_042,Voice,High,Short,-0.081,-1.424
blast_a_043,Voice,High,Short,0.452,0.402
blast_a_044,Voice,High,Short,-1.398,-2.758
blast_a_045,Voice,High,Short,-0.088,0.255
blast_a_046,Voice,High,Short,0.046,0.711
blast_a_047,Voice,High,Short,2.512,-0.198
blast_a_048,Voice,High,Short,-0.704,-0.755
blast_a_049,Voice,High,Short,-0.131,-0.658
blast_a_050,Voice,High,Short,0.481,-0.987
blast_a_051,Voice,High,Short,-0.554,-0.401
blast_a_001,Voice,Low,Long,1.304,-1.385
blast_a_002,Voice,Low,Long,1.228,-2.352
