word,location,image,repetition,trialnum,condition,letter6,letter5,letter4,letter3,letter2,letter1,corrAns,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,forced_test_trials.thisRepN,forced_test_trials.thisTrialN,forced_test_trials.thisN,forced_test_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,3,Alien7.bmp,1,237,R,,,,,,,,,,,,,,,,0,44,44,44,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien1.bmp,1,238,R,,,,,,,,,,,,,,,,0,45,45,45,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien1.bmp,1,239,R,,,,,,,,,,,,,,,,0,46,46,46,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien10.bmp,1,240,R,,,,,,,,,,,,,,,,0,47,47,47,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,48,48,48,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,49,49,49,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,50,50,50,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,51,51,51,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,52,52,52,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,53,53,53,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,54,54,54,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,55,55,55,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,56,56,56,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,57,57,57,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,58,58,58,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,0,blank.png,0,0,B,,,,,,,,,,,,,,,,0,59,59,59,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien1.bmp,1,145,R,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien6.bmp,1,146,R,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,3,0.471268709749,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
