"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","cond","targ","value","key_press","stimulus"
"-1000","","audio-keyboard-response","342","288057","0.0-11.0-331.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","343","288539","0.0-11.0-332.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","344","289021","0.0-11.0-333.0","lang2","do","","-1","sound/da.wav"
"-1000","","audio-keyboard-response","345","289502","0.0-11.0-334.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","346","289987","0.0-11.0-335.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","347","290471","0.0-11.0-336.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","348","290954","0.0-11.0-337.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","349","291435","0.0-11.0-338.0","lang2","do","","-1","sound/do.wav"
"-1000","","audio-keyboard-response","350","291917","0.0-11.0-339.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","351","292398","0.0-11.0-340.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","352","292880","0.0-11.0-341.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","353","293361","0.0-11.0-342.0","lang2","do","","-1","sound/pa.wav"
"-1000","","audio-keyboard-response","354","293843","0.0-11.0-343.0","lang2","do","","-1","sound/bi.wav"
"-1000","","audio-keyboard-response","355","294325","0.0-11.0-344.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","356","294807","0.0-11.0-345.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","357","295289","0.0-11.0-346.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","358","295770","0.0-11.0-347.0","lang2","do","","-1","sound/do.wav"
"97.36961451244497","","audio-keyboard-response","359","296252","0.0-11.0-348.0","lang2","do","","32","sound/da.wav"
"-1000","","audio-keyboard-response","360","296734","0.0-11.0-349.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","361","297216","0.0-11.0-350.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","362","297697","0.0-11.0-351.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","363","298180","0.0-11.0-352.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","364","298661","0.0-11.0-353.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","365","299144","0.0-11.0-354.0","lang2","do","","-1","sound/da.wav"
"-1000","","audio-keyboard-response","366","299625","0.0-11.0-355.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","367","300107","0.0-11.0-356.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","368","300589","0.0-11.0-357.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","369","301070","0.0-11.0-358.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","370","301554","0.0-11.0-359.0","lang2","do","","-1","sound/do.wav"
"143.80952380952294","","audio-keyboard-response","371","302040","0.0-11.0-360.0","lang2","do","","32","sound/go.wav"
"-1000","","audio-keyboard-response","372","302523","0.0-11.0-361.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","373","303006","0.0-11.0-362.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","374","303491","0.0-11.0-363.0","lang2","do","","-1","sound/pa.wav"
"-1000","","audio-keyboard-response","375","303973","0.0-11.0-364.0","lang2","do","","-1","sound/bi.wav"
"-1000","","audio-keyboard-response","376","304457","0.0-11.0-365.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","377","304942","0.0-11.0-366.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","378","305427","0.0-11.0-367.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","379","305912","0.0-11.0-368.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","380","306399","0.0-11.0-369.0","lang2","do","","-1","sound/da.wav"
"-1000","","audio-keyboard-response","381","306881","0.0-11.0-370.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","382","307365","0.0-11.0-371.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","383","307850","0.0-11.0-372.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","384","308333","0.0-11.0-373.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","385","308819","0.0-11.0-374.0","lang2","do","","-1","sound/do.wav"
"132.19954648525345","","audio-keyboard-response","386","309305","0.0-11.0-375.0","lang2","do","","32","sound/pa.wav"
"-1000","","audio-keyboard-response","387","309788","0.0-11.0-376.0","lang2","do","","-1","sound/bi.wav"
"-1000","","audio-keyboard-response","388","310271","0.0-11.0-377.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","389","310756","0.0-11.0-378.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","390","311240","0.0-11.0-379.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","391","311726","0.0-11.0-380.0","lang2","do","","-1","sound/do.wav"
"-1000","","audio-keyboard-response","392","312209","0.0-11.0-381.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","393","312693","0.0-11.0-382.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","394","313178","0.0-11.0-383.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","395","313660","0.0-11.0-384.0","lang2","do","","-1","sound/pa.wav"
"138.00453514733135","","audio-keyboard-response","396","314146","0.0-11.0-385.0","lang2","do","","32","sound/bi.wav"
"-1000","","audio-keyboard-response","397","314629","0.0-11.0-386.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","398","315111","0.0-11.0-387.0","lang2","do","","-1","sound/da.wav"
"-1000","","audio-keyboard-response","399","315592","0.0-11.0-388.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","400","316074","0.0-11.0-389.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","401","316559","0.0-11.0-390.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","402","317044","0.0-11.0-391.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","403","317529","0.0-11.0-392.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","404","318014","0.0-11.0-393.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","405","318500","0.0-11.0-394.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","406","318983","0.0-11.0-395.0","lang2","do","","-1","sound/do.wav"
"39.3197278910975","","audio-keyboard-response","407","319463","0.0-11.0-396.0","lang2","do","","32","sound/pa.wav"
"-1000","","audio-keyboard-response","408","319946","0.0-11.0-397.0","lang2","do","","-1","sound/bi.wav"
"-1000","","audio-keyboard-response","409","320428","0.0-11.0-398.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","410","320909","0.0-11.0-399.0","lang2","do","","-1","sound/da.wav"
"-1000","","audio-keyboard-response","411","321391","0.0-11.0-400.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","412","321873","0.0-11.0-401.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","413","322355","0.0-11.0-402.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","414","322837","0.0-11.0-403.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","415","323318","0.0-11.0-404.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","416","323800","0.0-11.0-405.0","lang2","do","","-1","sound/pa.wav"
"-1000","","audio-keyboard-response","417","324282","0.0-11.0-406.0","lang2","do","","-1","sound/bi.wav"
"-1000","","audio-keyboard-response","418","324763","0.0-11.0-407.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","419","325245","0.0-11.0-408.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","420","325726","0.0-11.0-409.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","421","326208","0.0-11.0-410.0","lang2","do","","-1","sound/do.wav"
"126.3945578231187","","audio-keyboard-response","422","326690","0.0-11.0-411.0","lang2","do","","32","sound/da.wav"
"-1000","","audio-keyboard-response","423","327172","0.0-11.0-412.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","424","327653","0.0-11.0-413.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","425","328135","0.0-11.0-414.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","426","328617","0.0-11.0-415.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","427","329099","0.0-11.0-416.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","428","329580","0.0-11.0-417.0","lang2","do","","-1","sound/pa.wav"
"-1000","","audio-keyboard-response","429","330062","0.0-11.0-418.0","lang2","do","","-1","sound/bi.wav"
"-1000","","audio-keyboard-response","430","330544","0.0-11.0-419.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","431","331026","0.0-11.0-420.0","lang2","do","","-1","sound/da.wav"
"-1000","","audio-keyboard-response","432","331508","0.0-11.0-421.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","433","331992","0.0-11.0-422.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","434","332477","0.0-11.0-423.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","435","332962","0.0-11.0-424.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","436","333447","0.0-11.0-425.0","lang2","do","","-1","sound/do.wav"
"-1000","","audio-keyboard-response","437","333928","0.0-11.0-426.0","lang2","do","","-1","sound/pa.wav"
"-1000","","audio-keyboard-response","438","334411","0.0-11.0-427.0","lang2","do","","-1","sound/bi.wav"
"-1000","","audio-keyboard-response","439","334894","0.0-11.0-428.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","440","335380","0.0-11.0-429.0","lang2","do","","-1","sound/da.wav"
"-1000","","audio-keyboard-response","441","335862","0.0-11.0-430.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","442","336346","0.0-11.0-431.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","443","336832","0.0-11.0-432.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","444","337313","0.0-11.0-433.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","445","337797","0.0-11.0-434.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","446","338282","0.0-11.0-435.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","447","338767","0.0-11.0-436.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","448","339252","0.0-11.0-437.0","lang2","do","","-1","sound/do.wav"
"-1000","","audio-keyboard-response","449","339736","0.0-11.0-438.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","450","340221","0.0-11.0-439.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","451","340705","0.0-11.0-440.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","452","341190","0.0-11.0-441.0","lang2","do","","-1","sound/pa.wav"
