word,location,image,repetition,trialnum,condition,corrAns,image3,image2,image1,image6,image5,image4,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,forced_test_1_block.thisRepN,forced_test_1_block.thisTrialN,forced_test_1_block.thisN,forced_test_1_block.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
2,2,Alien2.bmp,18,212,S,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,3,Alien3.bmp,18,213,S,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,1,Alien10.bmp,18,214,S,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,2,Alien11.bmp,18,215,S,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,3,Alien12.bmp,18,216,S,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,1,Alien4.bmp,19,217,S,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,2,Alien5.bmp,19,218,S,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,3,Alien6.bmp,19,219,S,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,3,0.441983464058,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,1,Alien10.bmp,19,220,S,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,2,Alien11.bmp,19,221,S,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,3,Alien12.bmp,19,222,S,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,1,Alien7.bmp,19,223,S,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,2,Alien8.bmp,19,224,S,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,3,Alien9.bmp,19,225,S,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,1,Alien1.bmp,19,226,S,,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,2,Alien2.bmp,19,227,S,,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,3,Alien3.bmp,19,228,S,,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,1,Alien7.bmp,20,229,S,,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,2,Alien8.bmp,20,230,S,,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,3,Alien9.bmp,20,231,S,,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,1,Alien10.bmp,20,232,S,,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
