soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,random_block_key_resp.keys,random_block_key_resp.rt,structured_block_key_resp.keys,structured_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
da.wav,4,3,23,264,S,,,,,0,23,23,23,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,24,24,24,,,3,0.433697639906,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,25,25,25,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,26,26,26,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,27,27,27,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,28,28,28,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,29,29,29,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,30,30,30,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,31,31,31,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,32,32,32,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,33,33,33,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,34,34,34,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,35,35,35,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
di.wav,2,1,22,265,S,,,,,0,36,36,36,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ba.wav,2,2,22,266,S,,,,,0,37,37,37,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pu.wav,2,3,22,267,S,,,,,0,38,38,38,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ta.wav,3,1,23,268,S,,,,,0,39,39,39,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ti.wav,3,2,23,269,S,,,,,0,40,40,40,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
du.wav,3,3,23,270,S,,,,,0,41,41,41,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pi.wav,1,1,23,271,S,,,,,0,42,42,42,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
tu.wav,1,2,23,272,S,,,,,0,43,43,43,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bi.wav,1,3,23,273,S,,,,,0,44,44,44,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
di.wav,2,1,23,274,S,,,,,0,45,45,45,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ba.wav,2,2,23,275,S,,,,,0,46,46,46,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pu.wav,2,3,23,276,S,,,,,0,47,47,47,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ta.wav,3,1,24,277,S,,,,,0,48,48,48,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ti.wav,3,2,24,278,S,,,,,0,49,49,49,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
du.wav,3,3,24,279,S,,,,,0,50,50,50,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bu.wav,4,1,24,280,S,,,,,0,51,51,51,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pa.wav,4,2,24,281,S,,,,,0,52,52,52,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
da.wav,4,3,24,282,S,,,,,0,53,53,53,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pi.wav,1,1,24,283,S,,,,,0,54,54,54,,,3,0.341951042006,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
tu.wav,1,2,24,284,S,,,,,0,55,55,55,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bi.wav,1,3,24,285,S,,,,,0,56,56,56,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
di.wav,2,1,24,286,S,,,,,0,57,57,57,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ba.wav,2,2,24,287,S,,,,,0,58,58,58,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pu.wav,2,3,24,288,S,,,,,0,59,59,59,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,60,60,60,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,61,61,61,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,62,62,62,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,63,63,63,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,64,64,64,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,65,65,65,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,66,66,66,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,67,67,67,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,68,68,68,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,69,69,69,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,70,70,70,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,71,71,71,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pi.wav,1,1,25,289,S,,,,,0,72,72,72,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
