soundFile,word,location,repetition,trialnum,condition,corrAns,soundFile3,soundFile2,soundFile1,soundFile6,soundFile5,soundFile4,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,twoAFC_1.thisRepN,twoAFC_1.thisTrialN,twoAFC_1.thisN,twoAFC_1.thisIndex,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date
1A.wav,2,1,33,397,S,,,,,,,,0,12,12,12,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
1B.wav,2,2,33,398,S,,,,,,,,0,13,13,13,,,,,,,,,,,,3,0.425268344,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
1C.wav,2,3,33,399,S,,,,,,,,0,14,14,14,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
3A.wav,1,1,35,400,S,,,,,,,,0,15,15,15,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
3B.wav,1,2,35,401,S,,,,,,,,0,16,16,16,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
3C.wav,1,3,35,402,S,,,,,,,,0,17,17,17,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4A.wav,3,1,34,403,S,,,,,,,,0,18,18,18,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4B.wav,3,2,34,404,S,,,,,,,,0,19,19,19,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4C.wav,3,3,34,405,S,,,,,,,,0,20,20,20,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
2A.wav,4,1,34,406,S,,,,,,,,0,21,21,21,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
2B.wav,4,2,34,407,S,,,,,,,,0,22,22,22,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
2C.wav,4,3,34,408,S,,,,,,,,0,23,23,23,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
pa.wav,0,1,1,385,R,,,,,,,,,,,,0,,,,,,,,0,0,0,,,None,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
