"part_id","task","rsr_raw","rsr_std"
"blast_c_480","rsr1",15,66
"blast_c_480","rsr2",15,66
"blast_c_481","rsr1",27,109
"blast_c_483","rsr1",21,103
"blast_c_483","rsr2",27,115
"blast_c_484","rsr1",32,129
"blast_c_484","rsr2",32,129
"blast_c_486","rsr1",29,115
"blast_c_487","rsr1",30,122
"blast_c_487","rsr2",31,124
"blast_c_488","rsr1",32,119
"blast_c_488","rsr2",32,119
"blast_c_489","rsr1",31,125
"blast_c_491","rsr1",25,111
"blast_c_491","rsr2",32,126
"blast_c_492","rsr1",28,107
"blast_c_492","rsr2",30,113
"blast_c_493","rsr1",32,127
"blast_c_497","rsr1",19,52
"blast_c_497","rsr2",20,58
"blast_c_498","rsr1",18,90
"blast_c_498","rsr2",27,114
"blast_c_499","rsr1",32,129
"blast_c_499","rsr2",32,129
"blast_c_503","rsr1",23,91
"blast_c_504","rsr1",30,118
"blast_c_504","rsr2",30,118
"blast_c_506","rsr1",28,107
"blast_c_506","rsr2",29,110
"blast_c_510","rsr1",26,NA
"blast_c_510","rsr2",27,NA
"blast_c_511","rsr1",26,106
"blast_c_511","rsr2",25,103
"blast_c_514","rsr1",17,87
"blast_c_515","rsr1",28,112
"blast_c_515","rsr2",30,118
"blast_c_519","rsr1",26,NA
"blast_c_519","rsr2",25,NA
"blast_c_519_followup","rsr1",26,106
"blast_c_519_followup","rsr2",25,95
"blast_c_522","rsr1",15,NA
"blast_c_522","rsr2",25,NA
"blast_c_522_followup","rsr1",20,101
"blast_c_522_followup","rsr2",25,NA
"blast_c_549_followup","rsr1",26,106
"blast_c_549_followup","rsr2",29,115
"smile_c_002","rsr1",24,82
"smile_c_002","rsr2",29,112
"smile_c_003","rsr1",31,NA
"smile_c_003","rsr2",31,NA
"smile_c_004","rsr1",26,94
"smile_c_004","rsr2",31,129
"smile_c_006","rsr1",13,69
"smile_c_006","rsr2",25,103
"smile_c_006_followup","rsr1",19,78
"smile_c_006_followup","rsr2",21,85
"smile_c_007","rsr1",27,104
"smile_c_007","rsr2",25,97
"smile_c_008","rsr1",27,NA
"smile_c_008","rsr2",30,NA
"smile_c_009","rsr1",31,NA
"smile_c_009","rsr2",32,NA
"smile_c_010","rsr1",22,NA
"smile_c_010","rsr2",22,NA
"smile_c_010_followup","rsr1",21,98
"smile_c_010_followup","rsr2",28,112
"smile_c_011","rsr1",27,NA
"smile_c_011","rsr2",31,NA
"smile_c_012","rsr2",31,116
"smile_c_013","rsr1",32,129
"smile_c_013","rsr2",32,129
"smile_c_014","rsr1",21,NA
"smile_c_014","rsr2",25,NA
"smile_c_014_followup","rsr1",25,NA
"smile_c_014_followup","rsr2",27,NA
"smile_c_016","rsr1",21,98
"smile_c_016","rsr2",30,116
"smile_c_016_followup","rsr1",28,112
"smile_c_016_followup","rsr2",29,115
"smile_c_017","rsr1",25,109
"smile_c_018","rsr1",21,85
"smile_c_018","rsr2",15,68
"smile_c_019","rsr1",22,100
"smile_c_019","rsr2",23,103
"smile_c_019_followup","rsr1",23,102
"smile_c_019_followup","rsr2",21,98
"smile_c_020","rsr1",25,97
"smile_c_020","rsr2",22,88
"smile_c_020_followup","rsr1",20,58
"smile_c_020_followup","rsr2",26,94
"smile_c_022","rsr1",25,118
"smile_c_022","rsr2",26,120
"smile_c_023","rsr1",0,0
"smile_c_023_followup","rsr1",7,81
"smile_c_023_followup","rsr2",8,83
"smile_c_024_followup","rsr1",19,92
"smile_c_024_followup","rsr2",22,100
"smile_c_025","rsr1",27,123
"smile_c_025","rsr2",28,125
"smile_c_025_followup","rsr1",29,120
"smile_c_025_followup","rsr2",31,124
"smile_c_029","rsr1",26,106
"smile_c_029","rsr2",32,124
"smile_c_029_followup","rsr1",26,106
"smile_c_029_followup","rsr2",32,124
"smile_c_032","rsr1",21,103
"smile_c_032","rsr2",19,99
"smile_c_032_followup","rsr1",21,103
"smile_c_032_followup","rsr2",19,99
"smile_c_033_followup","rsr1",7,68
"smile_c_033_followup","rsr2",5,64
"smile_c_034","rsr1",31,NA
"smile_c_034_followup","rsr1",31,NA
"smile_c_034_followup","rsr2",31,NA
"smile_c_037","rsr1",21,109
"smile_c_037","rsr2",26,120
"smile_c_037_followup","rsr1",21,109
"smile_c_037_followup","rsr2",26,120
"smile_c_042","rsr1",27,104
"smile_c_042","rsr2",30,113
"smile_c_042_followup","rsr1",27,104
"smile_c_042_followup","rsr2",30,113
"smile_c_043","rsr1",25,103
"smile_c_043","rsr2",29,115
"smile_c_043_followup","rsr1",25,103
"smile_c_043_followup","rsr2",29,115
"smile_c_047_followup","rsr1",17,100
"smile_c_047_followup","rsr2",21,109
"smile_c_200","rsr1",26,100
"smile_c_205","rsr1",25,103
"smile_c_205","rsr2",24,101
"smile_c_215","rsr1",18,90
"smile_c_252","rsr1",15,96
"smile_c_252_followup","rsr1",15,96
"smile_c_258_followup","rsr2",15,82
"spoli_c_017","rsr1",25,109
"spoli_c_017","rsr2",27,114
"spoli_c_030","rsr1",2,58
"spoli_c_049","rsr1",30,NA
"spoli_c_071","rsr1",27,NA
"spoli_c_082","rsr1",9,57
"spoli_c_088","rsr1",25,103
"spoli_c_090","rsr1",25,106
"spoli_c_093","rsr1",21,92
"spoli_c_125","rsr1",18,83
"spoli_c_135","rsr1",22,100
"spoli_c_146","rsr1",25,106
"spoli_c_148","rsr1",20,82
"spoli_c_157","rsr1",19,93
"spoli_c_183","rsr1",27,114
"spoli_c_185","rsr1",19,86
"spoli_c_236","rsr1",30,113
