"","ans","subj","key","trial_order","corr"
"217","2","blast_c_045",2,25,1
"218","1","blast_c_045",1,26,1
"219","2","blast_c_045",2,27,1
"220","1","blast_c_045",1,28,1
"221","1","blast_c_045",1,29,1
"222","2","blast_c_045",2,30,1
"223","2","blast_c_045",2,31,1
"224","2","blast_c_045",2,32,1
"225","1","blast_c_059",1,1,1
"226","1","blast_c_059",1,2,1
"227","2","blast_c_059",2,3,1
"228","2","blast_c_059",1,4,0
"229","1","blast_c_059",1,5,1
"230","1","blast_c_059",1,6,1
"231","1","blast_c_059",2,7,0
"232","2","blast_c_059",2,8,1
"233","1","blast_c_059",2,9,0
"234","1","blast_c_059",2,10,0
"235","2","blast_c_059",1,11,0
"236","2","blast_c_059",1,12,0
"237","1","blast_c_059",1,13,1
"238","2","blast_c_059",2,14,1
"239","1","blast_c_059",2,15,0
"240","2","blast_c_059",1,16,0
"241","2","blast_c_059",2,17,1
"242","2","blast_c_059",2,18,1
"243","2","blast_c_059",1,19,0
"244","1","blast_c_059",1,20,1
"245","1","blast_c_059",2,21,0
"246","1","blast_c_059",1,22,1
"247","2","blast_c_059",2,23,1
"248","1","blast_c_059",1,24,1
"249","1","blast_c_059",2,25,0
"250","2","blast_c_059",1,26,0
"251","2","blast_c_059",2,27,1
"252","2","blast_c_059",1,28,0
"253","1","blast_c_059",1,29,1
"254","2","blast_c_059",2,30,1
"255","2","blast_c_059",2,31,1
"256","2","blast_c_059",2,32,1
"257","1","blast_c_061",1,1,1
"258","1","blast_c_061",1,2,1
"259","1","blast_c_061",2,3,0
"260","1","blast_c_061",1,4,1
"261","1","blast_c_061",1,5,1
"262","1","blast_c_061",1,6,1
"263","2","blast_c_061",2,7,1
"264","2","blast_c_061",2,8,1
"265","2","blast_c_061",2,9,1
"266","1","blast_c_061",2,10,0
"267","2","blast_c_061",1,11,0
"268","1","blast_c_061",1,12,1
"269","2","blast_c_061",1,13,0
"270","1","blast_c_061",2,14,0
"271","2","blast_c_061",2,15,1
"272","1","blast_c_061",1,16,1
"273","2","blast_c_061",2,17,1
"274","1","blast_c_061",2,18,0
"275","2","blast_c_061",1,19,0
"276","1","blast_c_061",1,20,1
"277","2","blast_c_061",2,21,1
"278","1","blast_c_061",1,22,1
"279","2","blast_c_061",2,23,1
"280","1","blast_c_061",1,24,1
"281","2","blast_c_061",2,25,1
"282","2","blast_c_061",1,26,0
"283","1","blast_c_061",2,27,0
"284","2","blast_c_061",1,28,0
"285","1","blast_c_061",1,29,1
"286","2","blast_c_061",2,30,1
"287","2","blast_c_061",2,31,1
"288","1","blast_c_061",2,32,0
"289","1","blast_c_071",1,1,1
"290","1","blast_c_071",1,2,1
"291","2","blast_c_071",2,3,1
"292","2","blast_c_071",1,4,0
"293","2","blast_c_071",1,5,0
"294","1","blast_c_071",1,6,1
"295","1","blast_c_071",2,7,0
"296","2","blast_c_071",2,8,1
"297","2","blast_c_071",2,9,1
"298","2","blast_c_071",2,10,1
"299","1","blast_c_071",1,11,1
"300","1","blast_c_071",1,12,1
"301","2","blast_c_071",1,13,0
"302","2","blast_c_071",2,14,1
"303","2","blast_c_071",2,15,1
"304","2","blast_c_071",1,16,0
"305","2","blast_c_071",2,17,1
"306","1","blast_c_071",2,18,0
"307","1","blast_c_071",1,19,1
"308","2","blast_c_071",1,20,0
"309","2","blast_c_071",2,21,1
"310","1","blast_c_071",1,22,1
"311","2","blast_c_071",2,23,1
"312","2","blast_c_071",1,24,0
"313","1","blast_c_071",2,25,0
"314","2","blast_c_071",1,26,0
"315","2","blast_c_071",2,27,1
"316","1","blast_c_071",1,28,1
"317","1","blast_c_071",1,29,1
"318","2","blast_c_071",2,30,1
"319","1","blast_c_071",2,31,0
"320","2","blast_c_071",2,32,1
"321","1","blast_c_073",1,1,1
"322","2","blast_c_073",1,2,0
"323","1","blast_c_073",2,3,0
"324","1","blast_c_073",1,4,1
"325","1","blast_c_073",1,5,1
"326","1","blast_c_073",1,6,1
"327","1","blast_c_073",2,7,0
"328","2","blast_c_073",2,8,1
"329","1","blast_c_073",2,9,0
