Subject,Session,AgeMonth,AgeYears,gender,Group,languages,SessionDate,Block,Procedure[Block],Trial,answer.ACC,answer.CRESP,answer.OnsetToOnsetTime,answer.RESP,answer.RT,answer.RTTime,correctAnswer,correctKeyboard,nonword,Procedure[Trial],word
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,1,1,q,0,q,60,167523,nalobi,q,nadime,SegmentationProc,nalobi
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,2,1,p,0,p,681,171731,kimuga,p,duloga,SegmentationProc,kimuga
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,3,1,q,0,q,129,175379,dukame,q,gekalu,SegmentationProc,dukame
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,4,1,p,0,p,92,178995,gedino,p,kibeno,SegmentationProc,gedino
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,5,1,q,0,q,55,182571,tobelu,q,tomubi,SegmentationProc,tobelu
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,6,0,p,0,q,66,186155,nalobi,p,duloga,SegmentationProc,nalobi
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,7,0,q,0,p,952,190627,kimuga,q,gekalu,SegmentationProc,kimuga
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,8,0,p,0,q,85,194227,dukame,p,kibeno,SegmentationProc,dukame
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,9,1,p,0,p,46,197787,gedino,p,tomubi,SegmentationProc,gedino
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,10,1,q,0,q,190,201491,tobelu,q,nadime,SegmentationProc,tobelu
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,11,1,q,0,q,203,205211,nalobi,q,gekalu,SegmentationProc,nalobi
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,12,1,q,0,q,76,208803,dukame,q,tomubi,SegmentationProc,dukame
103,1,1,24,female,1,hebrew,11/5/17,2,SegmentationTest,13,0,q,0,p,100,212427,kimuga,q,kibeno,SegmentationProc,kimuga
