Subject,Session,AgeMonth,AgeYears,gender,Group,languages,SessionDate,Block,Procedure[Block],Trial,answer.ACC,answer.CRESP,answer.OnsetToOnsetTime,answer.RESP,answer.RT,answer.RTTime,correctAnswer,correctKeyboard,nonword,Procedure[Trial],word
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,8,1,p,0,p,458,190137,gedino,p,tomubi,SegmentationProc,gedino
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,9,1,q,0,q,415,194065,tobelu,q,nadime,SegmentationProc,tobelu
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,10,1,p,0,p,2183,199769,nalobi,p,duloga,SegmentationProc,nalobi
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,11,1,q,0,q,462,203753,dukame,q,tomubi,SegmentationProc,dukame
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,12,1,q,0,q,2347,209625,kimuga,q,kibeno,SegmentationProc,kimuga
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,13,1,p,0,p,180,213329,gedino,p,nadime,SegmentationProc,gedino
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,14,0,p,0,q,820,217673,tobelu,p,duloga,SegmentationProc,tobelu
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,15,1,q,0,q,203,221393,nalobi,q,gekalu,SegmentationProc,nalobi
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,16,0,q,0,p,2755,227664,dukame,q,nadime,SegmentationProc,dukame
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,17,1,q,0,q,1907,233088,tobelu,q,gekalu,SegmentationProc,tobelu
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,18,1,q,0,q,781,237384,gedino,q,duloga,SegmentationProc,gedino
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,19,0,p,0,q,3438,244344,kimuga,p,tomubi,SegmentationProc,kimuga
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,20,1,p,0,p,2746,250608,nalobi,p,kibeno,SegmentationProc,nalobi
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,21,1,p,0,p,1074,255208,gedino,p,gekalu,SegmentationProc,gedino
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,22,1,q,0,q,1590,260312,tobelu,q,kibeno,SegmentationProc,tobelu
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,23,1,q,0,q,670,264496,nalobi,q,tomubi,SegmentationProc,nalobi
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,24,0,p,0,q,363,268376,kimuga,p,nadime,SegmentationProc,kimuga
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,25,1,p,0,p,197,272096,dukame,p,duloga,SegmentationProc,dukame
204,1,3,21,female,1,hebrew,01/07/2018,1,exposureProc,1,,,,,,,,,,SoundExposure,
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,1,0,p,0,q,1347,165042,kimuga,p,duloga,SegmentationProc,kimuga
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,2,1,p,0,p,700,169266,gedino,p,kibeno,SegmentationProc,gedino
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,3,1,q,0,q,816,173602,nalobi,q,nadime,SegmentationProc,nalobi
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,4,1,q,0,q,383,177506,dukame,q,gekalu,SegmentationProc,dukame
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,5,1,q,0,q,199,181226,tobelu,q,tomubi,SegmentationProc,tobelu
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,6,1,p,0,p,256,185002,nalobi,p,duloga,SegmentationProc,nalobi
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,7,1,q,0,q,750,189266,kimuga,q,gekalu,SegmentationProc,kimuga
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,8,0,p,0,q,79,192866,dukame,p,kibeno,SegmentationProc,dukame
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,9,1,p,0,p,116,196506,gedino,p,tomubi,SegmentationProc,gedino
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,10,1,q,0,q,424,200450,tobelu,q,nadime,SegmentationProc,tobelu
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,11,1,q,0,q,199,204162,nalobi,q,gekalu,SegmentationProc,nalobi
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,12,1,q,0,q,382,208065,dukame,q,tomubi,SegmentationProc,dukame
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,13,1,q,0,q,639,212225,kimuga,q,kibeno,SegmentationProc,kimuga
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,14,1,p,0,p,470,216209,gedino,p,nadime,SegmentationProc,gedino
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,15,1,p,0,p,307,220033,tobelu,p,duloga,SegmentationProc,tobelu
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,16,1,q,0,q,463,224009,dukame,q,nadime,SegmentationProc,dukame
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,17,1,q,0,q,316,227849,tobelu,q,gekalu,SegmentationProc,tobelu
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,18,1,q,0,q,48,231417,gedino,q,duloga,SegmentationProc,gedino
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,19,1,p,0,p,182,235121,kimuga,p,tomubi,SegmentationProc,kimuga
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,20,0,p,0,q,303,238945,nalobi,p,kibeno,SegmentationProc,nalobi
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,21,1,p,0,p,203,242665,gedino,p,gekalu,SegmentationProc,gedino
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,22,0,q,0,p,587,246769,tobelu,q,kibeno,SegmentationProc,tobelu
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,23,1,q,0,q,675,250961,nalobi,q,tomubi,SegmentationProc,nalobi
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,24,0,p,0,q,177,254649,kimuga,p,nadime,SegmentationProc,kimuga
204,2,3,21,female,1,hebrew,01/07/2018,2,SegmentationTest,25,0,p,0,q,330,258489,dukame,p,duloga,SegmentationProc,dukame
205,1,5,31,male,1,hebrew,01-21-2018,1,exposureProc,1,,,,,,,,,,SoundExposure,
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,1,1,p,0,p,2142,278757,gedino,p,kibeno,SegmentationProc,gedino
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,2,1,q,0,q,768,283037,dukame,q,gekalu,SegmentationProc,dukame
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,3,0,p,0,q,809,287365,kimuga,p,duloga,SegmentationProc,kimuga
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,4,1,q,0,q,576,291453,tobelu,q,tomubi,SegmentationProc,tobelu
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,5,1,q,0,q,504,295468,nalobi,q,nadime,SegmentationProc,nalobi
