cond,sound,speaker,trial,eventcode,order
s,ba,e,33,115,371
sd,da,e,6,214,372
s,ba,e,16,115,373
s,ba,e,46,115,374
s,ba,e,7,115,375
s,ba,e,35,115,376
bd,ba,s,1,124,377
s,ba,e,31,115,378
s,ba,e,41,115,379
s,ba,e,24,115,380
s,ba,e,21,115,381
s,ba,e,43,115,382
s,ba,e,37,115,383
sd,da,e,0,214,384
s,ba,e,41,115,385
s,ba,e,20,115,386
s,ba,e,3,115,387
s,ba,e,22,115,388
s,ba,e,13,115,389
s,ba,e,22,115,390
sd,da,e,42,214,391
s,ba,e,21,115,392
s,ba,e,16,115,393
s,ba,e,27,115,394
s,ba,e,35,115,395
sd,da,e,21,214,396
s,ba,e,26,115,397
s,ba,e,2,115,398
s,ba,e,1,115,399
s,ba,e,24,115,400
s,ba,e,14,115,401
s,ba,e,6,115,402
bd,ba,s,20,124,403
s,ba,e,45,115,404
s,ba,e,20,115,405
s,ba,e,46,115,406
s,ba,e,44,115,407
s,ba,e,6,115,408
bd,ba,s,0,124,409
s,ba,e,15,115,410
s,ba,e,30,115,411
s,ba,e,42,115,412
s,ba,e,37,115,413
sd,da,e,44,214,414
s,ba,e,41,115,415
s,ba,e,27,115,416
s,ba,e,1,115,417
s,ba,e,49,115,418
s,ba,e,1,115,419
bd,ba,s,26,124,420
s,ba,e,13,115,421
s,ba,e,8,115,422
s,ba,e,37,115,423
s,ba,e,47,115,424
s,ba,e,0,115,425
s,ba,e,16,115,426
s,ba,e,25,115,427
s,ba,e,49,115,428
s,ba,e,10,115,429
bd,ba,s,40,124,430
s,ba,e,28,115,431
s,ba,e,37,115,432
s,ba,e,43,115,433
s,ba,e,15,115,434
bd,ba,s,43,124,435
s,ba,e,22,115,436
s,ba,e,14,115,437
s,ba,e,19,115,438
s,ba,e,7,115,439
s,ba,e,5,115,440
s,ba,e,31,115,441
s,ba,e,13,115,442
s,ba,e,0,115,443
s,ba,e,19,115,444
s,ba,e,13,115,445
s,ba,e,35,115,446
bd,ba,s,17,124,447
s,ba,e,1,115,448
s,ba,e,21,115,449
s,ba,e,16,115,450
s,ba,e,18,115,451
s,ba,e,38,115,452
sd,da,e,48,214,453
s,ba,e,33,115,454
s,ba,e,17,115,455
s,ba,e,47,115,456
s,ba,e,26,115,457
s,ba,e,31,115,458
s,ba,e,20,115,459
bd,ba,s,9,124,460
s,ba,e,35,115,461
s,ba,e,20,115,462
s,ba,e,42,115,463
s,ba,e,13,115,464
s,ba,e,41,115,465
s,ba,e,29,115,466
bd,ba,s,14,124,467
s,ba,e,40,115,468
s,ba,e,18,115,469
s,ba,e,13,115,470
s,ba,e,28,115,471
s,ba,e,37,115,472
s,ba,e,14,115,473
s,ba,e,41,115,474
bd,ba,s,38,124,475
s,ba,e,3,115,476
s,ba,e,22,115,477
s,ba,e,29,115,478
s,ba,e,4,115,479
s,ba,e,34,115,480
s,ba,e,28,115,481
s,ba,e,4,115,482
sd,da,e,41,214,483
s,ba,e,6,115,484
s,ba,e,41,115,485
s,ba,e,10,115,486
s,ba,e,30,115,487
s,ba,e,38,115,488
s,ba,e,41,115,489
s,ba,e,10,115,490
s,ba,e,43,115,491
s,ba,e,19,115,492
s,ba,e,16,115,493
bd,ba,s,39,124,494
s,ba,e,14,115,495
s,ba,e,13,115,496
s,ba,e,30,115,497
s,ba,e,15,115,498
bd,ba,s,44,124,499
s,ba,e,24,115,500
s,ba,e,25,115,501
s,ba,e,32,115,502
s,ba,e,44,115,503
bd,ba,s,42,124,504
s,ba,e,41,115,505
s,ba,e,23,115,506
s,ba,e,43,115,507
s,ba,e,25,115,508
s,ba,e,3,115,509
s,ba,e,30,115,510
sd,da,e,49,214,511
s,ba,e,31,115,512
s,ba,e,2,115,513
s,ba,e,43,115,514
s,ba,e,45,115,515
s,ba,e,32,115,516
s,ba,e,27,115,517
bd,ba,s,23,124,518
s,ba,e,16,115,519
s,ba,e,7,115,520
s,ba,e,42,115,521
s,ba,e,20,115,522
s,ba,e,34,115,523
s,ba,e,42,115,524
bd,ba,s,8,124,525
s,ba,e,2,115,526
s,ba,e,30,115,527
s,ba,e,4,115,528
s,ba,e,12,115,529
s,ba,e,35,115,530
s,ba,e,5,115,531
sd,da,e,15,214,532
s,ba,e,21,115,533
s,ba,e,17,115,534
s,ba,e,45,115,535
s,ba,e,33,115,536
s,ba,e,20,115,537
s,ba,e,48,115,538
sd,da,e,20,214,539
s,ba,e,3,115,540
s,ba,e,42,115,541
s,ba,e,5,115,542
s,ba,e,12,115,543
s,ba,e,6,115,544
s,ba,e,29,115,545
sd,da,e,26,214,546
s,ba,e,23,115,547
s,ba,e,9,115,548
s,ba,e,26,115,549
s,ba,e,4,115,550
bd,ba,s,28,124,551
s,ba,e,3,115,552
s,ba,e,26,115,553
s,ba,e,12,115,554
s,ba,e,26,115,555
bd,ba,s,23,124,556
s,ba,e,4,115,557
s,ba,e,16,115,558
s,ba,e,44,115,559
s,ba,e,27,115,560
s,ba,e,18,115,561
s,ba,e,20,115,562
s,ba,e,2,115,563
bd,ba,s,12,124,564
s,ba,e,33,115,565
s,ba,e,33,115,566
s,ba,e,4,115,567
s,ba,e,35,115,568
s,ba,e,43,115,569
bd,ba,s,11,124,570
s,ba,e,47,115,571
s,ba,e,48,115,572
s,ba,e,41,115,573
s,ba,e,31,115,574
s,ba,e,26,115,575
s,ba,e,33,115,576
s,ba,e,31,115,577
s,ba,e,28,115,578
bd,ba,s,12,124,579
s,ba,e,5,115,580
s,ba,e,31,115,581
s,ba,e,15,115,582
s,ba,e,38,115,583
s,ba,e,42,115,584
s,ba,e,18,115,585
s,ba,e,37,115,586
sd,da,e,15,214,587
s,ba,e,26,115,588
s,ba,e,1,115,589
s,ba,e,11,115,590
s,ba,e,18,115,591
s,ba,e,7,115,592
s,ba,e,30,115,593
bd,ba,s,19,124,594
s,ba,e,10,115,595
s,ba,e,1,115,596
s,ba,e,37,115,597
s,ba,e,3,115,598
s,ba,e,28,115,599
s,ba,e,40,115,600
bd,ba,s,26,124,601
s,ba,e,6,115,602
s,ba,e,45,115,603
s,ba,e,20,115,604
s,ba,e,23,115,605
bd,ba,s,34,124,606
s,ba,e,31,115,607
s,ba,e,1,115,608
s,ba,e,28,115,609
s,ba,e,3,115,610
sd,da,e,39,214,611
s,ba,e,23,115,612
s,ba,e,41,115,613
s,ba,e,35,115,614
s,ba,e,0,115,615
s,ba,e,36,115,616
s,ba,e,44,115,617
s,ba,e,2,115,618
sd,da,e,4,214,619
s,ba,e,32,115,620
s,ba,e,38,115,621
s,ba,e,29,115,622
