"","ssl_a_entropy","ssl_b_entropy","ssl_c_entropy","ssl_d_entropy","part_id","mean_entropy"
"47",0.954434002924965,0.954434002924965,0.954434002924965,0.954434002924965,"blast_c_410",0.954
"48",0.543564443199596,1,1,0.954434002924965,"blast_c_420",0.874
"49",0.954434002924965,0.954434002924965,1,1,"blast_c_421",0.977
"50",0.811278124459133,0.811278124459133,0.954434002924965,0.954434002924965,"blast_c_423",0.883
"51",0.954434002924965,0.811278124459133,0.954434002924965,0.954434002924965,"blast_c_426",0.919
"52",0.811278124459133,0,1,0.811278124459133,"blast_c_428",0.656
"53",1,1,1,1,"blast_c_429",1
"54",0.954434002924965,0.954434002924965,1,0.811278124459133,"blast_c_438",0.93
"55",1,0.811278124459133,0.954434002924965,0.954434002924965,"blast_c_439",0.93
"56",0.954434002924965,0.954434002924965,0,0.811278124459133,"blast_c_440",0.68
"57",0.954434002924965,1,0.811278124459133,0.954434002924965,"blast_c_444",0.93
"58",0.811278124459133,0.811278124459133,0.543564443199596,1,"blast_c_449",0.792
"59",0.954434002924965,0,0.811278124459133,0,"blast_c_450",0.441
"60",0.954434002924965,0.543564443199596,0.954434002924965,0.543564443199596,"blast_c_451",0.749
"61",0.954434002924965,0,0.954434002924965,0,"blast_c_454",0.477
"62",0.954434002924965,0.811278124459133,0.954434002924965,0.954434002924965,"blast_c_456",0.919
"63",0.543564443199596,0.954434002924965,1,0.954434002924965,"blast_c_457",0.863
"64",0.954434002924965,0.954434002924965,0.954434002924965,0.811278124459133,"blast_c_462",0.919
"65",0.543564443199596,0.811278124459133,0.954434002924965,0.954434002924965,"blast_c_467",0.816
"66",0.954434002924965,0.954434002924965,0.543564443199596,0.543564443199596,"blast_c_470",0.749
"67",1,0.811278124459133,0.811278124459133,1,"blast_c_475",0.906
"68",1,1,1,1,"blast_c_478",1
"69",0,0,0.811278124459133,0.954434002924965,"blast_c_479",0.441
"70",0.543564443199596,0,0.543564443199596,0.954434002924965,"blast_c_483",0.51
"71",0.954434002924965,0,0.954434002924965,1,"blast_c_484",0.727
"72",0.954434002924965,0.954434002924965,0.811278124459133,0.543564443199596,"blast_c_485",0.816
"73",0.954434002924965,0.954434002924965,0.811278124459133,0.543564443199596,"blast_c_487",0.816
"74",1,0.954434002924965,0.954434002924965,0.954434002924965,"blast_c_488",0.966
"75",1,0.954434002924965,0.954434002924965,0.954434002924965,"blast_c_491",0.966
"76",0.954434002924965,0.811278124459133,0.954434002924965,1,"blast_c_492",0.93
"77",0.954434002924965,0.543564443199596,0.954434002924965,1,"blast_c_493",0.863
"78",0.811278124459133,0.811278124459133,0.954434002924965,0.954434002924965,"blast_c_497",0.883
"79",0.954434002924965,0.954434002924965,1,0.954434002924965,"blast_c_498",0.966
"80",0.954434002924965,0.954434002924965,0.954434002924965,0.954434002924965,"blast_c_503",0.954
"81",0.811278124459133,0.811278124459133,0.954434002924965,0.811278124459133,"blast_c_512",0.847
"82",1,1,0.954434002924965,0.954434002924965,"blast_c_514",0.977
"83",0.811278124459133,0.543564443199596,1,0.811278124459133,"blast_c_515",0.792
"84",0.543564443199596,0.954434002924965,0.954434002924965,1,"blast_c_516",0.863
"85",1,0.954434002924965,0.954434002924965,0.954434002924965,"blast_c_522",0.966
"86",0.954434002924965,0.954434002924965,0.954434002924965,1,"blast_c_540",0.966
"87",0.811278124459133,0.954434002924965,0.543564443199596,0,"blast_c_554",0.577
"88",0.954434002924965,0.811278124459133,0.811278124459133,0.811278124459133,"blast_c_555",0.847
