"","par_id","mean_rt","scaled_rt_slope","d_prime","hits","hit_rate","misses","miss_rate","corr_rej","corr_rej_rate","false_alarms","false_alarm_rate","distractors","total_disc","resp_acc"
"47","blast_c_409","-67.048","-0.028","0.779298278305703","28","0.583","20","0.417","309","0.715","123","0.285","432","480","0.702"
"48","blast_c_420","347.086","-0.011","2.24623601241155","35","0.729","13","0.271","410","0.949","22","0.051","432","480","0.927"
"49","blast_c_427","292","-0.005","0.898904728471687","27","0.562","21","0.438","333","0.771","99","0.229","432","480","0.75"
"50","blast_c_428","118.197","-0.007","1.68543219546233","42","0.875","6","0.125","304","0.704","128","0.296","432","480","0.721"
"51","blast_c_429","-2.492","-0.008","1.05413475343627","37","0.771","11","0.229","269","0.623","163","0.377","432","480","0.638"
"52","blast_c_438","387.238","-0.033","0.391631141148122","7","0.146","41","0.854","400","0.926","32","0.074","432","480","0.848"
"53","blast_c_439","249.143","-0.002","0.373568007097657","14","0.292","34","0.708","355","0.822","77","0.178","432","480","0.769"
"54","blast_c_440","147.289","0.007","0.915012584974171","30","0.625","18","0.375","313","0.725","119","0.275","432","480","0.715"
"55","blast_c_444","239.834","-0.007","1.03476674805382","18","0.375","30","0.625","394","0.912","38","0.088","432","480","0.858"
"56","blast_c_451","230.28","0.01","0.187780452644753","9","0.188","39","0.812","371","0.859","61","0.141","432","480","0.792"
"57","blast_c_454","552.86","-0.018","0.696194171113814","18","0.375","30","0.625","365","0.845","67","0.155","432","480","0.798"
"58","blast_c_457","612.49","-0.009","1.08711453436863","20","0.417","28","0.583","390","0.903","42","0.097","432","480","0.854"
"59","blast_c_458","-124.667","0.017","0.29888339315696","4","0.083","44","0.917","412","0.954","20","0.046","432","480","0.867"
"60","blast_c_462","284.464","0.005","0.593385568900042","23","0.479","25","0.521","320","0.741","112","0.259","432","480","0.715"
"61","blast_c_467","70.974","-0.01","0.613121514723432","26","0.542","22","0.458","300","0.694","132","0.306","432","480","0.679"
"62","blast_c_469","41.333","-0.002","0.700831601465906","17","0.354","31","0.646","371","0.859","61","0.141","432","480","0.808"
"63","blast_c_470","150.905","0.01","0.992487770309121","18","0.375","30","0.625","391","0.905","41","0.095","432","480","0.852"
"64","blast_c_474","-153.581","0.001","0.975945414000589","43","0.896","5","0.104","168","0.389","264","0.611","432","480","0.44"
"65","blast_c_475","27.704","-0.011","0.480903854995082","9","0.188","39","0.812","395","0.914","37","0.086","432","480","0.842"
"66","blast_c_476","26.15","0.035","0.283623688140694","10","0.208","38","0.792","373","0.863","59","0.137","432","480","0.798"
