soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
bi.wav,1,3,6,57,S,0,44,44,44,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bu.wav,4,1,5,58,S,0,45,45,45,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pa.wav,4,2,5,59,S,0,46,46,46,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
da.wav,4,3,5,60,S,0,47,47,47,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
di.wav,2,1,5,61,S,0,48,48,48,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ba.wav,2,2,5,62,S,0,49,49,49,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pu.wav,2,3,5,63,S,0,50,50,50,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bu.wav,4,1,6,64,S,0,51,51,51,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pa.wav,4,2,6,65,S,0,52,52,52,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
da.wav,4,3,6,66,S,0,53,53,53,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pi.wav,1,1,7,67,S,0,54,54,54,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
tu.wav,1,2,7,68,S,0,55,55,55,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bi.wav,1,3,7,69,S,0,56,56,56,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ta.wav,3,1,6,70,S,0,57,57,57,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ti.wav,3,2,6,71,S,0,58,58,58,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
du.wav,3,3,6,72,S,0,59,59,59,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3B.wav,0.0,1.0,1.0,25.0,R,,,,,0,0,0,0,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4C.wav,0.0,2.0,1.0,26.0,R,,,,,0,1,1,1,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3B.wav,0.0,3.0,1.0,27.0,R,,,,,0,2,2,2,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2B.wav,0.0,1.0,1.0,28.0,R,,,,,0,3,3,3,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4A.wav,0.0,2.0,1.0,29.0,R,,,,,0,4,4,4,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1C.wav,0.0,3.0,1.0,30.0,R,,,,,0,5,5,5,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1A.wav,0.0,1.0,1.0,31.0,R,,,,,0,6,6,6,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4B.wav,0.0,2.0,1.0,32.0,R,,,,,0,7,7,7,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2A.wav,0.0,3.0,1.0,33.0,R,,,,,0,8,8,8,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2B.wav,0.0,1.0,1.0,34.0,R,,,,,0,9,9,9,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3C.wav,0.0,2.0,1.0,35.0,R,,,,,0,10,10,10,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2C.wav,0.0,3.0,1.0,36.0,R,,,,,0,11,11,11,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2A.wav,0.0,1.0,1.0,37.0,R,,,,,0,12,12,12,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1B.wav,0.0,2.0,1.0,38.0,R,,,,,0,13,13,13,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4C.wav,0.0,3.0,1.0,39.0,R,,,,,0,14,14,14,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3A.wav,0.0,1.0,1.0,40.0,R,,,,,0,15,15,15,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3C.wav,0.0,2.0,1.0,41.0,R,,,,,0,16,16,16,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3A.wav,0.0,3.0,1.0,42.0,R,,,,,0,17,17,17,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4A.wav,0.0,1.0,1.0,43.0,R,,,,,0,18,18,18,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2C.wav,0.0,2.0,1.0,44.0,R,,,,,0,19,19,19,,,2,0.267915377277,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2C.wav,0.0,3.0,1.0,45.0,R,,,,,0,20,20,20,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2A.wav,0.0,1.0,1.0,46.0,R,,,,,0,21,21,21,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4B.wav,0.0,2.0,1.0,47.0,R,,,,,0,22,22,22,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2B.wav,0.0,3.0,1.0,48.0,R,,,,,0,23,23,23,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,24,24,24,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,25,25,25,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,26,26,26,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,27,27,27,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,28,28,28,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,29,29,29,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,30,30,30,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,31,31,31,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,32,32,32,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,33,33,33,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,34,34,34,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0.0,0.0,0.0,0.0,B,,,,,0,35,35,35,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3C.wav,0.0,1.0,1.0,49.0,R,,,,,0,36,36,36,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1B.wav,0.0,2.0,1.0,50.0,R,,,,,0,37,37,37,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2B.wav,0.0,3.0,1.0,51.0,R,,,,,0,38,38,38,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
2C.wav,0.0,1.0,1.0,52.0,R,,,,,0,39,39,39,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3B.wav,0.0,2.0,1.0,53.0,R,,,,,0,40,40,40,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3B.wav,0.0,3.0,1.0,54.0,R,,,,,0,41,41,41,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3A.wav,0.0,1.0,1.0,55.0,R,,,,,0,42,42,42,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1C.wav,0.0,2.0,1.0,56.0,R,,,,,0,43,43,43,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1C.wav,0.0,3.0,1.0,57.0,R,,,,,0,44,44,44,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4B.wav,0.0,1.0,1.0,58.0,R,,,,,0,45,45,45,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4C.wav,0.0,2.0,1.0,59.0,R,,,,,0,46,46,46,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1A.wav,0.0,3.0,1.0,60.0,R,,,,,0,47,47,47,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4B.wav,0.0,1.0,1.0,61.0,R,,,,,0,48,48,48,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
