soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,random_block_key_resp.keys,random_block_key_resp.rt,structured_block_key_resp.keys,structured_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
tu.wav,0,2,1,254,R,0,13,13,13,,,,,4,0.233468975173,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
di.wav,0,3,1,255,R,0,14,14,14,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
ti.wav,0,1,1,256,R,0,15,15,15,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
pi.wav,0,2,1,257,R,0,16,16,16,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
pu.wav,0,3,1,258,R,0,17,17,17,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
pi.wav,0,1,1,259,R,0,18,18,18,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
du.wav,0,2,1,260,R,0,19,19,19,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
di.wav,0,3,1,261,R,0,20,20,20,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
bu.wav,0,1,1,262,R,0,21,21,21,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
pa.wav,0,2,1,263,R,0,22,22,22,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
tu.wav,0,3,1,264,R,0,23,23,23,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
2A.wav,4,1,21,241,S,,,,,0,0,0,0,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
2B.wav,4,2,21,242,S,,,,,0,1,1,1,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
2C.wav,4,3,21,243,S,,,,,0,2,2,2,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
3A.wav,1,1,21,244,S,,,,,0,3,3,3,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
