soundFile,word,location,repetition,trialnum,condition,practice_trials_1.thisRepN,practice_trials_1.thisTrialN,practice_trials_1.thisN,practice_trials_1.thisIndex,practice_trials_2.thisRepN,practice_trials_2.thisTrialN,practice_trials_2.thisN,practice_trials_2.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,practice_trial_1.keys,practice_trial_1.rt,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
bi.wav,1,3,1,3,S,,,,,,,,,0,2,2,2,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
di.wav,2,1,1,4,S,,,,,,,,,0,3,3,3,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
ba.wav,2,2,1,5,S,,,,,,,,,0,4,4,4,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
pu.wav,2,3,1,6,S,,,,,,,,,0,5,5,5,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
ta.wav,3,1,1,7,S,,,,,,,,,0,6,6,6,,,,,,,3,0.375275057275,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
ti.wav,3,2,1,8,S,,,,,,,,,0,7,7,7,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
du.wav,3,3,1,9,S,,,,,,,,,0,8,8,8,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
pi.wav,1,1,2,10,S,,,,,,,,,0,9,9,9,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
tu.wav,1,2,2,11,S,,,,,,,,,0,10,10,10,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
bi.wav,1,3,2,12,S,,,,,,,,,0,11,11,11,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
bu.wav,4,1,1,13,S,,,,,,,,,0,12,12,12,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
pa.wav,4,2,1,14,S,,,,,,,,,0,13,13,13,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
da.wav,4,3,1,15,S,,,,,,,,,0,14,14,14,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
di.wav,2,1,2,16,S,,,,,,,,,0,15,15,15,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
ba.wav,2,2,2,17,S,,,,,,,,,0,16,16,16,,,,,,,None,,,,pu,1,003,123.89936167,2c,auditory,2017_Oct_25_0959,
