soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
silence.wav,0,0,0,0,B,0,31,31,31,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,32,32,32,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,33,33,33,,,,,4,0.000236372696236,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,34,34,34,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,35,35,35,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1A.wav,2,1,4,49,S,0,36,36,36,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1B.wav,2,2,4,50,S,0,37,37,37,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1C.wav,2,3,4,51,S,0,38,38,38,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4A.wav,3,1,5,52,S,0,39,39,39,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4B.wav,3,2,5,53,S,0,40,40,40,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4C.wav,3,3,5,54,S,0,41,41,41,,,,,4,0.0168564287014,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3A.wav,1,1,6,55,S,0,42,42,42,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3B.wav,1,2,6,56,S,0,43,43,43,,,,,4,0.150186083047,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3C.wav,1,3,6,57,S,0,44,44,44,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2A.wav,4,1,5,58,S,0,45,45,45,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2B.wav,4,2,5,59,S,0,46,46,46,,,,,4,0.0502231179271,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2C.wav,4,3,5,60,S,0,47,47,47,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1A.wav,2,1,5,61,S,0,48,48,48,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1B.wav,2,2,5,62,S,0,49,49,49,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1C.wav,2,3,5,63,S,0,50,50,50,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2A.wav,4,1,6,64,S,0,51,51,51,,,,,4,0.125258275075,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2B.wav,4,2,6,65,S,0,52,52,52,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2C.wav,4,3,6,66,S,0,53,53,53,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3A.wav,1,1,7,67,S,0,54,54,54,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3B.wav,1,2,7,68,S,0,55,55,55,,,,,4,0.175237339921,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3C.wav,1,3,7,69,S,0,56,56,56,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4A.wav,3,1,6,70,S,0,57,57,57,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4B.wav,3,2,6,71,S,0,58,58,58,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4C.wav,3,3,6,72,S,0,59,59,59,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
bi.wav,0,1,1,25,R,,,,,0,0,0,0,,,4,0.0218390319496,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
bu.wav,0,2,1,26,R,,,,,0,1,1,1,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pu.wav,0,3,1,27,R,,,,,0,2,2,2,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pi.wav,0,1,1,28,R,,,,,0,3,3,3,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ti.wav,0,2,1,29,R,,,,,0,4,4,4,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ta.wav,0,3,1,30,R,,,,,0,5,5,5,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
tu.wav,0,1,1,31,R,,,,,0,6,6,6,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pi.wav,0,2,1,32,R,,,,,0,7,7,7,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ta.wav,0,3,1,33,R,,,,,0,8,8,8,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
du.wav,0,1,1,34,R,,,,,0,9,9,9,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
tu.wav,0,2,1,35,R,,,,,0,10,10,10,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
bu.wav,0,3,1,36,R,,,,,0,11,11,11,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
di.wav,0,1,1,37,R,,,,,0,12,12,12,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
da.wav,0,2,1,38,R,,,,,0,13,13,13,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pa.wav,0,3,1,39,R,,,,,0,14,14,14,,,4,0.200211512391,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pa.wav,0,1,1,40,R,,,,,0,15,15,15,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
da.wav,0,2,1,41,R,,,,,0,16,16,16,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ba.wav,0,3,1,42,R,,,,,0,17,17,17,,,4,0.30019808677,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pa.wav,0,1,1,43,R,,,,,0,18,18,18,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ti.wav,0,2,1,44,R,,,,,0,19,19,19,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
bu.wav,0,3,1,45,R,,,,,0,20,20,20,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
bi.wav,0,1,1,46,R,,,,,0,21,21,21,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
du.wav,0,2,1,47,R,,,,,0,22,22,22,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
da.wav,0,3,1,48,R,,,,,0,23,23,23,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,24,24,24,,,4,0.158646013122,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,25,25,25,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,26,26,26,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,27,27,27,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,28,28,28,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,29,29,29,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,30,30,30,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,31,31,31,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,32,32,32,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,33,33,33,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,34,34,34,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,,,,,0,35,35,35,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pu.wav,0,1,1,49,R,,,,,0,36,36,36,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ba.wav,0,2,1,50,R,,,,,0,37,37,37,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
du.wav,0,3,1,51,R,,,,,0,38,38,38,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ta.wav,0,1,1,52,R,,,,,0,39,39,39,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ba.wav,0,2,1,53,R,,,,,0,40,40,40,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ta.wav,0,3,1,54,R,,,,,0,41,41,41,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
bu.wav,0,1,1,55,R,,,,,0,42,42,42,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
da.wav,0,2,1,56,R,,,,,0,43,43,43,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pa.wav,0,3,1,57,R,,,,,0,44,44,44,,,4,0.258579964982,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
bi.wav,0,1,1,58,R,,,,,0,45,45,45,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ti.wav,0,2,1,59,R,,,,,0,46,46,46,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pa.wav,0,3,1,60,R,,,,,0,47,47,47,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
du.wav,0,1,1,61,R,,,,,0,48,48,48,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
tu.wav,0,2,1,62,R,,,,,0,49,49,49,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
di.wav,0,3,1,63,R,,,,,0,50,50,50,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
bu.wav,0,1,1,64,R,,,,,0,51,51,51,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
