word,location,image,repetition,trialnum,condition,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,3,Alien3.bmp,1,6,R,,,,,,,,,0,5,5,5,,,,4,0.317013437394,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien5.bmp,1,7,R,,,,,,,,,0,6,6,6,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien11.bmp,1,8,R,,,,,,,,,0,7,7,7,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien8.bmp,1,9,R,,,,,,,,,0,8,8,8,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien4.bmp,1,10,R,,,,,,,,,0,9,9,9,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien12.bmp,1,11,R,,,,,,,,,0,10,10,10,,,,3,0.300338460249,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien10.bmp,1,12,R,,,,,,,,,0,11,11,11,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien6.bmp,1,13,R,,,,,,,,,0,12,12,12,,,,3,0.60880747583,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien5.bmp,1,14,R,,,,,,,,,0,13,13,13,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien1.bmp,1,15,R,,,,,,,,,0,14,14,14,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien1.bmp,1,16,R,,,,,,,,,0,15,15,15,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien11.bmp,1,17,R,,,,,,,,,0,16,16,16,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien10.bmp,1,18,R,,,,,,,,,0,17,17,17,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien3.bmp,1,19,R,,,,,,,,,0,18,18,18,,,,3,0.392015705875,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien2.bmp,1,20,R,,,,,,,,,0,19,19,19,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien6.bmp,1,21,R,,,,,,,,,0,20,20,20,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien4.bmp,1,22,R,,,,,,,,,0,21,21,21,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien7.bmp,1,23,R,,,,,,,,,0,22,22,22,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien4.bmp,1,24,R,,,,,,,,,0,23,23,23,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien8.bmp,1,25,R,,,,,,,,,0,24,24,24,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien6.bmp,1,26,R,,,,,,,,,0,25,25,25,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien5.bmp,1,27,R,,,,,,,,,0,26,26,26,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien8.bmp,1,28,R,,,,,,,,,0,27,27,27,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien6.bmp,1,29,R,,,,,,,,,0,28,28,28,,,,4,0.32536870375,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien5.bmp,1,30,R,,,,,,,,,0,29,29,29,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien10.bmp,1,31,R,,,,,,,,,0,30,30,30,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien12.bmp,1,32,R,,,,,,,,,0,31,31,31,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien2.bmp,1,33,R,,,,,,,,,0,32,32,32,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien11.bmp,1,34,R,,,,,,,,,0,33,33,33,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien7.bmp,1,35,R,,,,,,,,,0,34,34,34,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien9.bmp,1,36,R,,,,,,,,,0,35,35,35,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien4.bmp,1,37,R,,,,,,,,,0,36,36,36,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien12.bmp,1,38,R,,,,,,,,,0,37,37,37,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien8.bmp,1,39,R,,,,,,,,,0,38,38,38,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien11.bmp,1,40,R,,,,,,,,,0,39,39,39,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien3.bmp,1,41,R,,,,,,,,,0,40,40,40,,,,3,0.358684240375,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien9.bmp,1,42,R,,,,,,,,,0,41,41,41,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
