word,location,image,repetition,trialnum,condition,letter6,letter5,letter4,letter3,letter2,letter1,corrAns,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,forced_test_trials.thisRepN,forced_test_trials.thisTrialN,forced_test_trials.thisN,forced_test_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,1,Alien5.bmp,1,154,R,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,2,Alien8.bmp,1,155,R,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,3,Alien7.bmp,1,156,R,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,1,Alien3.bmp,1,157,R,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,3,0.533730967494,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,2,Alien6.bmp,1,158,R,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,3,Alien4.bmp,1,159,R,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,1,Alien10.bmp,1,160,R,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,2,Alien1.bmp,1,161,R,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,3,Alien8.bmp,1,162,R,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
0,1,Alien9.bmp,1,163,R,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,None,,,,,2,3,f005,F,119.990136345,visual,2018_Jan_23_1027,
