word,location,image,repetition,trialnum,condition,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_key_resp.keys,v_block_trial_key_resp.keys,date,expName,frameRate,PartID,
0,3,Alien17.png,1,261,R,,,,,0,20,20,20,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien23.png,1,262,R,,,,,0,21,21,21,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien11.png,1,263,R,,,,,0,22,22,22,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien5.png,1,264,R,,,,,0,23,23,23,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien11.png,1,265,R,,,,,0,24,24,24,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien16.png,1,266,R,,,,,0,25,25,25,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien20.png,1,267,R,,,,,0,26,26,26,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien4.png,1,268,R,,,,,0,27,27,27,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien11.png,1,269,R,,,,,0,28,28,28,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien16.png,1,270,R,,,,,0,29,29,29,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien24.png,1,271,R,,,,,0,30,30,30,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien12.png,1,272,R,,,,,0,31,31,31,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien12.png,1,273,R,,,,,0,32,32,32,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien4.png,1,274,R,,,,,0,33,33,33,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien3.png,1,275,R,,,,,0,34,34,34,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien19.png,1,276,R,,,,,0,35,35,35,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien24.png,1,277,R,,,,,0,36,36,36,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien8.png,1,278,R,,,,,0,37,37,37,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien5.png,1,279,R,,,,,0,38,38,38,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien4.png,1,280,R,,,,,0,39,39,39,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien3.png,1,281,R,,,,,0,40,40,40,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien23.png,1,282,R,,,,,0,41,41,41,,None,2018_Feb_09_1351,lv,119.946741342,1,
