11.0016 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?
12.9750 	EXP 	window1: blendMode = 'avg'
12.9833 	EXP 	window1: blendMode = 'avg'
12.9917 	EXP 	window1: blendMode = 'avg'
13.0000 	EXP 	window1: blendMode = 'avg'
13.0083 	EXP 	window1: blendMode = 'avg'
13.0198 	EXP 	window1: blendMode = 'avg'
13.0287 	EXP 	window1: blendMode = 'avg'
13.0333 	EXP 	window1: blendMode = 'avg'
13.0417 	EXP 	window1: blendMode = 'avg'
13.0500 	EXP 	window1: blendMode = 'avg'
13.0583 	EXP 	window1: blendMode = 'avg'
13.0667 	EXP 	window1: blendMode = 'avg'
13.0750 	EXP 	window1: blendMode = 'avg'
13.0833 	EXP 	window1: blendMode = 'avg'
13.0917 	EXP 	window1: blendMode = 'avg'
13.1001 	EXP 	window1: blendMode = 'avg'
13.1084 	EXP 	window1: blendMode = 'avg'
13.1168 	EXP 	window1: blendMode = 'avg'
13.1251 	EXP 	window1: blendMode = 'avg'
13.1336 	EXP 	window1: blendMode = 'avg'
13.1418 	EXP 	window1: blendMode = 'avg'
13.1501 	EXP 	window1: blendMode = 'avg'
13.1584 	EXP 	window1: blendMode = 'avg'
13.1668 	EXP 	window1: blendMode = 'avg'
13.1751 	EXP 	window1: blendMode = 'avg'
13.1834 	EXP 	window1: blendMode = 'avg'
13.1917 	EXP 	window1: blendMode = 'avg'
13.1999 	EXP 	window1: blendMode = 'avg'
13.2082 	EXP 	window1: blendMode = 'avg'
13.2166 	EXP 	window1: blendMode = 'avg'
13.2249 	EXP 	window1: blendMode = 'avg'
13.2332 	EXP 	window1: blendMode = 'avg'
13.2416 	EXP 	window1: blendMode = 'avg'
13.2499 	EXP 	window1: blendMode = 'avg'
13.2582 	EXP 	window1: blendMode = 'avg'
13.2666 	EXP 	window1: blendMode = 'avg'
13.2749 	EXP 	window1: blendMode = 'avg'
13.2832 	EXP 	window1: blendMode = 'avg'
13.2916 	EXP 	window1: blendMode = 'avg'
13.2999 	EXP 	window1: blendMode = 'avg'
13.3082 	EXP 	window1: blendMode = 'avg'
13.3166 	EXP 	window1: blendMode = 'avg'
13.3249 	EXP 	window1: blendMode = 'avg'
13.3332 	EXP 	window1: blendMode = 'avg'
13.3416 	EXP 	window1: blendMode = 'avg'
13.3499 	EXP 	window1: blendMode = 'avg'
13.3582 	EXP 	window1: blendMode = 'avg'
13.3666 	EXP 	window1: blendMode = 'avg'
