"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","cond","targ","key_press"
"-1000","","single-audio","103","83667","0.0-13.0-90.0","lang2","pi","-1"
"255.55555555555998","","single-audio","104","84055","0.0-13.0-91.0","lang2","pi","39"
"-1000","","single-audio","105","84717","0.0-13.0-92.0","lang2","pi","-1"
"-1000","","single-audio","106","85238","0.0-13.0-93.0","lang2","pi","-1"
"-1000","","single-audio","107","85732","0.0-13.0-94.0","lang2","pi","-1"
"-1000","","single-audio","108","87198","0.0-13.0-95.0","lang2","pi","-1"
"-1000","","single-audio","109","87680","0.0-13.0-96.0","lang2","pi","-1"
"-1000","","single-audio","110","88214","0.0-13.0-97.0","lang2","pi","-1"
"326.6666666666822","","single-audio","111","88697","0.0-13.0-98.0","lang2","pi","37"
"-1000","","single-audio","112","89361","0.0-13.0-99.0","lang2","pi","-1"
"-1000","","single-audio","113","89863","0.0-13.0-100.0","lang2","pi","-1"
"-1000","","single-audio","114","90348","0.0-13.0-101.0","lang2","pi","-1"
"-1000","","single-audio","115","91810","0.0-13.0-102.0","lang2","pi","-1"
"-1000","","single-audio","116","92295","0.0-13.0-103.0","lang2","pi","-1"
"-1000","","single-audio","117","92778","0.0-13.0-104.0","lang2","pi","-1"
"164.12698412698035","","single-audio","118","93063","0.0-13.0-105.0","lang2","pi","39"
"-1000","","single-audio","119","93727","0.0-13.0-106.0","lang2","pi","-1"
"-1000","","single-audio","120","94213","0.0-13.0-107.0","lang2","pi","-1"
"-1000","","single-audio","121","94695","0.0-13.0-108.0","lang2","pi","-1"
"-1000","","single-audio","122","96158","0.0-13.0-109.0","lang2","pi","-1"
"-1000","","single-audio","123","96654","0.0-13.0-110.0","lang2","pi","-1"
"-1000","","single-audio","124","97137","0.0-13.0-111.0","lang2","pi","-1"
"174.28571428573036","","single-audio","125","97437","0.0-13.0-112.0","lang2","pi","39"
"-1000","","single-audio","126","98103","0.0-13.0-113.0","lang2","pi","-1"
"-1000","","single-audio","127","98585","0.0-13.0-114.0","lang2","pi","-1"
"-1000","","single-audio","128","99067","0.0-13.0-115.0","lang2","pi","-1"
"-89.84126984125851","","single-audio","129","100529","0.0-13.0-116.0","lang2","pi","39"
"-1000","","single-audio","130","101014","0.0-13.0-117.0","lang2","pi","-1"
"-1000","","single-audio","131","101519","0.0-13.0-118.0","lang2","pi","-1"
"275.8730158730316","","single-audio","132","101922","0.0-13.0-119.0","lang2","pi","39"
"-1000","","single-audio","133","102627","0.0-13.0-120.0","lang2","pi","-1"
"-1000","","single-audio","134","103109","0.0-13.0-121.0","lang2","pi","-1"
"174.28571428573036","","single-audio","135","103612","0.0-13.0-122.0","lang2","pi","39"
"-1000","","single-audio","136","105118","0.0-13.0-123.0","lang2","pi","-1"
"-1000","","single-audio","137","105600","0.0-13.0-124.0","lang2","pi","-1"
"-1000","","single-audio","138","106083","0.0-13.0-125.0","lang2","pi","-1"
"326.666666666668","","single-audio","139","106532","0.0-13.0-126.0","lang2","pi","37"
"-1000","","single-audio","140","107194","0.0-13.0-127.0","lang2","pi","-1"
"-1000","","single-audio","141","107676","0.0-13.0-128.0","lang2","pi","-1"
"-1000","","single-audio","142","108159","0.0-13.0-129.0","lang2","pi","-1"
"-1000","","single-audio","143","109639","0.0-13.0-130.0","lang2","pi","-1"
"-1000","","single-audio","144","110121","0.0-13.0-131.0","lang2","pi","-1"
"-1000","","single-audio","145","110603","0.0-13.0-132.0","lang2","pi","-1"
"174.28571428571615","","single-audio","146","110904","0.0-13.0-133.0","lang2","pi","39"
"-1000","","single-audio","147","111566","0.0-13.0-134.0","lang2","pi","-1"
"-1000","","single-audio","148","112048","0.0-13.0-135.0","lang2","pi","-1"
"-1000","","single-audio","149","112531","0.0-13.0-136.0","lang2","pi","-1"
"-1000","","single-audio","150","114021","0.0-13.0-137.0","lang2","pi","-1"
"-1000","","single-audio","151","114519","0.0-13.0-138.0","lang2","pi","-1"
"-1000","","single-audio","152","115002","0.0-13.0-139.0","lang2","pi","-1"
"397.7777777777902","","single-audio","153","115524","0.0-13.0-140.0","lang2","pi","39"
"-1000","","single-audio","154","116186","0.0-13.0-141.0","lang2","pi","-1"
"-1000","","single-audio","155","116670","0.0-13.0-142.0","lang2","pi","-1"
"-1000","","single-audio","156","117153","0.0-13.0-143.0","lang2","pi","-1"
"1.5873015873211216","","single-audio","157","118616","0.0-13.0-144.0","lang2","pi","39"
"-1000","","single-audio","158","119098","0.0-13.0-145.0","lang2","pi","-1"
"-1000","","single-audio","159","119590","0.0-13.0-146.0","lang2","pi","-1"
"194.60317460317356","","single-audio","160","119909","0.0-13.0-147.0","lang2","pi","37"
"-1000","","single-audio","161","120571","0.0-13.0-148.0","lang2","pi","-1"
"-1000","","single-audio","162","121055","0.0-13.0-149.0","lang2","pi","-1"
"-1000","","single-audio","163","121538","0.0-13.0-150.0","lang2","pi","-1"
"-1000","","single-audio","164","123011","0.0-13.0-151.0","lang2","pi","-1"
"-1000","","single-audio","165","123493","0.0-13.0-152.0","lang2","pi","-1"
"-1000","","single-audio","166","124024","0.0-13.0-153.0","lang2","pi","-1"
"326.666666666668","","single-audio","167","124471","0.0-13.0-154.0","lang2","pi","39"
"-1000","","single-audio","168","125133","0.0-13.0-155.0","lang2","pi","-1"
"-1000","","single-audio","169","125642","0.0-13.0-156.0","lang2","pi","-1"
"-1000","","single-audio","170","126129","0.0-13.0-157.0","lang2","pi","-1"
"-1000","","single-audio","171","127598","0.0-13.0-158.0","lang2","pi","-1"
"-1000","","single-audio","172","128080","0.0-13.0-159.0","lang2","pi","-1"
"-1000","","single-audio","173","128566","0.0-13.0-160.0","lang2","pi","-1"
"214.92063492064517","","single-audio","174","128910","0.0-13.0-161.0","lang2","pi","39"
"-1000","","single-audio","175","129573","0.0-13.0-162.0","lang2","pi","-1"
"-1000","","single-audio","176","130069","0.0-13.0-163.0","lang2","pi","-1"
"-1000","","single-audio","177","130564","0.0-13.0-164.0","lang2","pi","-1"
"-1000","","single-audio","178","132033","0.0-13.0-165.0","lang2","pi","-1"
"-1000","","single-audio","179","132518","0.0-13.0-166.0","lang2","pi","-1"
"-1000","","single-audio","180","133000","0.0-13.0-167.0","lang2","pi","-1"
"6427.709750566891","","single-audio","181","139689","0.0-13.0-168.0","lang2","pi","39"
"-1000","","single-audio","182","140352","0.0-13.0-169.0","lang2","pi","-1"
"-1000","","single-audio","183","140837","0.0-13.0-170.0","lang2","pi","-1"
"-1000","","single-audio","184","141326","0.0-13.0-171.0","lang2","pi","-1"
"-1000","","single-audio","185","142928","0.0-13.0-172.0","lang2","pi","-1"
"-1000","","single-audio","186","143411","0.0-13.0-173.0","lang2","pi","-1"
"-1000","","single-audio","187","143894","0.0-13.0-174.0","lang2","pi","-1"
"1973.8321995465071","","single-audio","188","146065","0.0-13.0-175.0","lang2","pi","39"
"-1000","","single-audio","189","146728","0.0-13.0-176.0","lang2","pi","-1"
"-1000","","single-audio","190","147210","0.0-13.0-177.0","lang2","pi","-1"
"-1000","","single-audio","191","147694","0.0-13.0-178.0","lang2","pi","-1"
"-1000","","single-audio","192","149156","0.0-13.0-179.0","lang2","pi","-1"
"-1000","","single-audio","193","149646","0.0-13.0-180.0","lang2","pi","-1"
"-1000","","single-audio","194","150131","0.0-13.0-181.0","lang2","pi","-1"
"4095.5555555555634","","single-audio","195","154387","0.0-13.0-182.0","lang2","pi","39"
"-1000","","single-audio","196","155050","0.0-13.0-183.0","lang2","pi","-1"
"-1000","","single-audio","197","155542","0.0-13.0-184.0","lang2","pi","-1"
"-1000","","single-audio","198","156024","0.0-13.0-185.0","lang2","pi","-1"
"-1000","","single-audio","199","157544","0.0-13.0-186.0","lang2","pi","-1"
"-1000","","single-audio","200","158026","0.0-13.0-187.0","lang2","pi","-1"
"-1000","","single-audio","201","158508","0.0-13.0-188.0","lang2","pi","-1"
"4440.952380952382","","single-audio","202","163082","0.0-13.0-189.0","lang2","pi","39"
"-1000","","single-audio","203","163744","0.0-13.0-190.0","lang2","pi","-1"
"-1000","","single-audio","204","164227","0.0-13.0-191.0","lang2","pi","-1"
"-1000","","single-audio","205","164709","0.0-13.0-192.0","lang2","pi","-1"
"-1000","","single-audio","206","166171","0.0-13.0-193.0","lang2","pi","-1"
"-1000","","single-audio","207","166669","0.0-13.0-194.0","lang2","pi","-1"
"-1000","","single-audio","208","167159","0.0-13.0-195.0","lang2","pi","-1"
"18134.920634920632","","single-audio","209","185557","0.0-13.0-196.0","lang2","pi","39"
"-1000","","single-audio","210","186241","0.0-13.0-197.0","lang2","pi","-1"
"-1000","","single-audio","211","186724","0.0-13.0-198.0","lang2","pi","-1"
"-1000","","single-audio","212","187206","0.0-13.0-199.0","lang2","pi","-1"
"-1000","","single-audio","213","188677","0.0-13.0-200.0","lang2","pi","-1"
"-1000","","single-audio","214","189159","0.0-13.0-201.0","lang2","pi","-1"
"-1000","","single-audio","215","189669","0.0-13.0-202.0","lang2","pi","-1"
"3079.682539682551","","single-audio","216","192888","0.0-13.0-203.0","lang2","pi","39"
"-1000","","single-audio","217","193550","0.0-13.0-204.0","lang2","pi","-1"
"-1000","","single-audio","218","194063","0.0-13.0-205.0","lang2","pi","-1"
"-1000","","single-audio","219","194550","0.0-13.0-206.0","lang2","pi","-1"
"-1000","","single-audio","220","196035","0.0-13.0-207.0","lang2","pi","-1"
"-1000","","single-audio","221","196517","0.0-13.0-208.0","lang2","pi","-1"
"-1000","","single-audio","222","197066","0.0-13.0-209.0","lang2","pi","-1"
"7082.2222222222135","","single-audio","223","204387","0.0-13.0-210.0","lang2","pi","39"
"-1000","","single-audio","224","205067","0.0-13.0-211.0","lang2","pi","-1"
"-1000","","single-audio","225","205549","0.0-13.0-212.0","lang2","pi","-1"
"-1000","","single-audio","226","206031","0.0-13.0-213.0","lang2","pi","-1"
"-1000","","single-audio","227","207493","0.0-13.0-214.0","lang2","pi","-1"
"-1000","","single-audio","228","208001","0.0-13.0-215.0","lang2","pi","-1"
"-1000","","single-audio","229","208485","0.0-13.0-216.0","lang2","pi","-1"
"7793.333333333322","","single-audio","230","216474","0.0-13.0-217.0","lang2","pi","39"
"-1000","","single-audio","231","217141","0.0-13.0-218.0","lang2","pi","-1"
"-1000","","single-audio","232","217623","0.0-13.0-219.0","lang2","pi","-1"
"-1000","","single-audio","233","218114","0.0-13.0-220.0","lang2","pi","-1"
"-1000","","single-audio","234","219579","0.0-13.0-221.0","lang2","pi","-1"
"-1000","","single-audio","235","220086","0.0-13.0-222.0","lang2","pi","-1"
"-1000","","single-audio","236","220569","0.0-13.0-223.0","lang2","pi","-1"
"10444.76190476192","","single-audio","237","231234","0.0-13.0-224.0","lang2","pi","39"
"1161","","text","238","232597","0.0-14.0","lang2","pi","32"
