"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","cond","targ","key_press"
"-1000","","single-audio","113","234534","0.0-13.0-100.0","lang2","pi","-1"
"-1000","","single-audio","114","235028","0.0-13.0-101.0","lang2","pi","-1"
"-1000","","single-audio","115","236502","0.0-13.0-102.0","lang2","pi","-1"
"-1000","","single-audio","116","236985","0.0-13.0-103.0","lang2","pi","-1"
"-1000","","single-audio","117","237467","0.0-13.0-104.0","lang2","pi","-1"
"1098.7301587301488","","single-audio","118","238692","0.0-13.0-105.0","lang2","pi","39"
"-1000","","single-audio","119","239354","0.0-13.0-106.0","lang2","pi","-1"
"-1000","","single-audio","120","239837","0.0-13.0-107.0","lang2","pi","-1"
"-1000","","single-audio","121","240319","0.0-13.0-108.0","lang2","pi","-1"
"-1000","","single-audio","122","241782","0.0-13.0-109.0","lang2","pi","-1"
"-1000","","single-audio","123","242274","0.0-13.0-110.0","lang2","pi","-1"
"-1000","","single-audio","124","242757","0.0-13.0-111.0","lang2","pi","-1"
"265.7142857142958","","single-audio","125","243152","0.0-13.0-112.0","lang2","pi","39"
"-1000","","single-audio","126","243815","0.0-13.0-113.0","lang2","pi","-1"
"-1000","","single-audio","127","244298","0.0-13.0-114.0","lang2","pi","-1"
"-1000","","single-audio","128","244780","0.0-13.0-115.0","lang2","pi","-1"
"-1000","","single-audio","129","246242","0.0-13.0-116.0","lang2","pi","-1"
"-1000","","single-audio","130","246724","0.0-13.0-117.0","lang2","pi","-1"
"-1000","","single-audio","131","247206","0.0-13.0-118.0","lang2","pi","-1"
"336.8253968253896","","single-audio","132","247672","0.0-13.0-119.0","lang2","pi","37"
"-1000","","single-audio","133","248340","0.0-13.0-120.0","lang2","pi","-1"
"-1000","","single-audio","134","248824","0.0-13.0-121.0","lang2","pi","-1"
"-1000","","single-audio","135","249308","0.0-13.0-122.0","lang2","pi","-1"
"-1000","","single-audio","136","250772","0.0-13.0-123.0","lang2","pi","-1"
"-1000","","single-audio","137","251254","0.0-13.0-124.0","lang2","pi","-1"
"-1000","","single-audio","138","251737","0.0-13.0-125.0","lang2","pi","-1"
"926.0317460317538","","single-audio","139","252789","0.0-13.0-126.0","lang2","pi","39"
"-1000","","single-audio","140","253454","0.0-13.0-127.0","lang2","pi","-1"
"-1000","","single-audio","141","253938","0.0-13.0-128.0","lang2","pi","-1"
"-1000","","single-audio","142","254423","0.0-13.0-129.0","lang2","pi","-1"
"-1000","","single-audio","143","255889","0.0-13.0-130.0","lang2","pi","-1"
"-1000","","single-audio","144","256371","0.0-13.0-131.0","lang2","pi","-1"
"-1000","","single-audio","145","256865","0.0-13.0-132.0","lang2","pi","-1"
"1047.9365079364982","","single-audio","146","258038","0.0-13.0-133.0","lang2","pi","37"
"-1000","","single-audio","147","258711","0.0-13.0-134.0","lang2","pi","-1"
"-1000","","single-audio","148","259193","0.0-13.0-135.0","lang2","pi","-1"
"-1000","","single-audio","149","259687","0.0-13.0-136.0","lang2","pi","-1"
"-1000","","single-audio","150","261150","0.0-13.0-137.0","lang2","pi","-1"
"-1000","","single-audio","151","261632","0.0-13.0-138.0","lang2","pi","-1"
"-1000","","single-audio","152","262114","0.0-13.0-139.0","lang2","pi","-1"
"2805.3968253967696","","single-audio","153","265038","0.0-13.0-140.0","lang2","pi","39"
"-1000","","single-audio","154","265779","0.0-13.0-141.0","lang2","pi","-1"
"-1000","","single-audio","155","266261","0.0-13.0-142.0","lang2","pi","-1"
"-1000","","single-audio","156","266743","0.0-13.0-143.0","lang2","pi","-1"
"-1000","","single-audio","157","268205","0.0-13.0-144.0","lang2","pi","-1"
"-1000","","single-audio","158","268687","0.0-13.0-145.0","lang2","pi","-1"
"-1000","","single-audio","159","269169","0.0-13.0-146.0","lang2","pi","-1"
"570.4761904761995","","single-audio","160","269859","0.0-13.0-147.0","lang2","pi","39"
"-1000","","single-audio","161","270521","0.0-13.0-148.0","lang2","pi","-1"
"-1000","","single-audio","162","271003","0.0-13.0-149.0","lang2","pi","-1"
"-1000","","single-audio","163","271485","0.0-13.0-150.0","lang2","pi","-1"
"-1000","","single-audio","164","272948","0.0-13.0-151.0","lang2","pi","-1"
"-1000","","single-audio","165","273441","0.0-13.0-152.0","lang2","pi","-1"
"-1000","","single-audio","166","273923","0.0-13.0-153.0","lang2","pi","-1"
"255.55555555553156","","single-audio","167","274300","0.0-13.0-154.0","lang2","pi","39"
"-1000","","single-audio","168","274979","0.0-13.0-155.0","lang2","pi","-1"
"-1000","","single-audio","169","275462","0.0-13.0-156.0","lang2","pi","-1"
"-1000","","single-audio","170","275945","0.0-13.0-157.0","lang2","pi","-1"
"-1000","","single-audio","171","277407","0.0-13.0-158.0","lang2","pi","-1"
"-1000","","single-audio","172","277895","0.0-13.0-159.0","lang2","pi","-1"
"-1000","","single-audio","173","278382","0.0-13.0-160.0","lang2","pi","-1"
"235.23809523805994","","single-audio","174","278749","0.0-13.0-161.0","lang2","pi","39"
"-1000","","single-audio","175","279420","0.0-13.0-162.0","lang2","pi","-1"
"-1000","","single-audio","176","279910","0.0-13.0-163.0","lang2","pi","-1"
"-1000","","single-audio","177","280393","0.0-13.0-164.0","lang2","pi","-1"
"-1000","","single-audio","178","281855","0.0-13.0-165.0","lang2","pi","-1"
"-1000","","single-audio","179","282338","0.0-13.0-166.0","lang2","pi","-1"
"-1000","","single-audio","180","282820","0.0-13.0-167.0","lang2","pi","-1"
"286.03174603171055","","single-audio","181","283225","0.0-13.0-168.0","lang2","pi","37"
"-1000","","single-audio","182","283908","0.0-13.0-169.0","lang2","pi","-1"
"-1000","","single-audio","183","284391","0.0-13.0-170.0","lang2","pi","-1"
"-1000","","single-audio","184","284874","0.0-13.0-171.0","lang2","pi","-1"
"-1000","","single-audio","185","286337","0.0-13.0-172.0","lang2","pi","-1"
"-1000","","single-audio","186","286819","0.0-13.0-173.0","lang2","pi","-1"
"-1000","","single-audio","187","287301","0.0-13.0-174.0","lang2","pi","-1"
"367.301587301597","","single-audio","188","287810","0.0-13.0-175.0","lang2","pi","39"
"-1000","","single-audio","189","288472","0.0-13.0-176.0","lang2","pi","-1"
"-1000","","single-audio","190","288954","0.0-13.0-177.0","lang2","pi","-1"
"-1000","","single-audio","191","289440","0.0-13.0-178.0","lang2","pi","-1"
"-1000","","single-audio","192","290903","0.0-13.0-179.0","lang2","pi","-1"
"-1000","","single-audio","193","291385","0.0-13.0-180.0","lang2","pi","-1"
"-1000","","single-audio","194","291867","0.0-13.0-181.0","lang2","pi","-1"
"397.777777777776","","single-audio","195","292408","0.0-13.0-182.0","lang2","pi","37"
"-1000","","single-audio","196","293071","0.0-13.0-183.0","lang2","pi","-1"
"-1000","","single-audio","197","293554","0.0-13.0-184.0","lang2","pi","-1"
"-1000","","single-audio","198","294036","0.0-13.0-185.0","lang2","pi","-1"
"-1000","","single-audio","199","295498","0.0-13.0-186.0","lang2","pi","-1"
"-1000","","single-audio","200","295980","0.0-13.0-187.0","lang2","pi","-1"
"-1000","","single-audio","201","296462","0.0-13.0-188.0","lang2","pi","-1"
"265.71428571423894","","single-audio","202","296849","0.0-13.0-189.0","lang2","pi","37"
"-1000","","single-audio","203","297512","0.0-13.0-190.0","lang2","pi","-1"
"-1000","","single-audio","204","297994","0.0-13.0-191.0","lang2","pi","-1"
"-1000","","single-audio","205","298476","0.0-13.0-192.0","lang2","pi","-1"
"-1000","","single-audio","206","299938","0.0-13.0-193.0","lang2","pi","-1"
"-1000","","single-audio","207","300468","0.0-13.0-194.0","lang2","pi","-1"
"-1000","","single-audio","208","300953","0.0-13.0-195.0","lang2","pi","-1"
"448.5714285714266","","single-audio","209","301517","0.0-13.0-196.0","lang2","pi","37"
"-1000","","single-audio","210","302180","0.0-13.0-197.0","lang2","pi","-1"
"-1000","","single-audio","211","302662","0.0-13.0-198.0","lang2","pi","-1"
"-1000","","single-audio","212","303150","0.0-13.0-199.0","lang2","pi","-1"
"-1000","","single-audio","213","304613","0.0-13.0-200.0","lang2","pi","-1"
"-1000","","single-audio","214","305095","0.0-13.0-201.0","lang2","pi","-1"
"-1000","","single-audio","215","305577","0.0-13.0-202.0","lang2","pi","-1"
"1200.3174603174784","","single-audio","216","306900","0.0-13.0-203.0","lang2","pi","37"
"-1000","","single-audio","217","307565","0.0-13.0-204.0","lang2","pi","-1"
"-1000","","single-audio","218","308046","0.0-13.0-205.0","lang2","pi","-1"
"-1000","","single-audio","219","308528","0.0-13.0-206.0","lang2","pi","-1"
"-1000","","single-audio","220","309990","0.0-13.0-207.0","lang2","pi","-1"
"-1000","","single-audio","221","310473","0.0-13.0-208.0","lang2","pi","-1"
"-1000","","single-audio","222","310956","0.0-13.0-209.0","lang2","pi","-1"
"306.34920634918217","","single-audio","223","311382","0.0-13.0-210.0","lang2","pi","37"
"-1000","","single-audio","224","312044","0.0-13.0-211.0","lang2","pi","-1"
"-1000","","single-audio","225","312526","0.0-13.0-212.0","lang2","pi","-1"
"-1000","","single-audio","226","313023","0.0-13.0-213.0","lang2","pi","-1"
"-1000","","single-audio","227","314513","0.0-13.0-214.0","lang2","pi","-1"
"-1000","","single-audio","228","314996","0.0-13.0-215.0","lang2","pi","-1"
"-1000","","single-audio","229","315478","0.0-13.0-216.0","lang2","pi","-1"
"661.9047619047365","","single-audio","230","316279","0.0-13.0-217.0","lang2","pi","37"
"-1000","","single-audio","231","316945","0.0-13.0-218.0","lang2","pi","-1"
"-1000","","single-audio","232","317426","0.0-13.0-219.0","lang2","pi","-1"
"-1000","","single-audio","233","317908","0.0-13.0-220.0","lang2","pi","-1"
"-1000","","single-audio","234","319374","0.0-13.0-221.0","lang2","pi","-1"
"-1000","","single-audio","235","319856","0.0-13.0-222.0","lang2","pi","-1"
"-1000","","single-audio","236","320343","0.0-13.0-223.0","lang2","pi","-1"
"2018.8208616779661","","single-audio","237","322567","0.0-13.0-224.0","lang2","pi","39"
"2764","","text","238","325534","0.0-14.0","lang2","pi","32"
